,Unnamed: 0,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer,pix,theta,phi
91,158,PSZ2 G044.07-59.30,341.1382436,-17.716886,0.1325,3.033627,J2244.5-1744,                    ,32,0.7692189945347443,-1.035065114274098
92,159,PSZ2 G044.20+48.66,239.600471,27.212253399999998,0.0894,8.771307,J1558.3+2713,RMJ155820.0+271400.3,3,0.7714994500172117,0.8494499243691562
93,161,PSZ2 G044.46-65.42,347.17389160000005,-19.918404100000004,0.0829,2.5693099999999998,            ,                    ,32,0.7760347450141384,-1.1418652013909676
94,162,PSZ2 G044.58-20.46,306.2812057,0.5188419,0.2746,5.65164,            ,                    ,35,0.7782263087269441,-0.3571686719699261
95,163,PSZ2 G044.77-51.30,333.7654656,-13.9876674,0.5027,8.359282,J2214.9-1400,                    ,32,0.7814198638597493,-0.8954112011235554
96,165,PSZ2 G045.04+30.38,259.3115246,23.0598388,0.1603,3.2388369999999997,            ,                    ,0,0.7861356806719549,0.5302618611500614
97,166,PSZ2 G045.10-43.18,326.47204689999995,-10.0924216,0.0808,2.8047400000000002,J2145.9-1006,                    ,32,0.7871456772448596,-0.753643814680573
98,167,PSZ2 G045.13+67.78,217.99583900000002,29.5566539,0.2191,4.825367,            ,RMJ143201.0+293253.3,3,0.7878178863065145,1.1831130309006235
99,169,PSZ2 G045.32-38.46,322.3544372,-7.7089217,0.594,7.650510000000001,J2129.4-0741,RMJ212926.1-074127.9,35,0.7910346309346492,-0.6714115870464948
100,172,PSZ2 G045.50-37.21,321.31990989999997,-6.978136200000001,0.1153,2.807489,J2125.2-0657,RMJ212510.4-065748.8,35,0.7942542085599795,-0.6495735113701098
101,173,PSZ2 G045.51+16.26,273.53487110000003,18.2928421,0.24,4.112292,            ,                    ,0,0.7944476950275254,0.28383236452317523
102,174,PSZ2 G045.87+57.70,229.58737230000003,29.469574800000004,0.611,7.029533,            ,RMJ151820.6+292740.2,3,0.8006797383701568,1.0072157952701448
103,176,PSZ2 G046.10+27.18,262.9273037,22.8751267,0.389,8.269269,J1731.6+2251,                    ,0,0.8046946052282877,0.4743879460609845
104,177,PSZ2 G046.13+30.72,259.2810682,24.064567899999997,0.569,6.39454,            ,RMJ171705.5+240423.6,0,0.8052460929971362,0.5363385426418551
105,178,PSZ2 G046.26-70.47,352.44707,-21.169897,0.1431,3.017671,            ,                    ,32,0.8075462491953649,-1.2299845305208466
106,181,PSZ2 G046.47-49.44,332.5693139,-12.1777218,0.0846,4.38968,J2210.3-1210,                    ,32,0.8111296144364636,-0.8629686677232428
107,182,PSZ2 G046.88+56.48,231.04689280000002,29.912874699999996,0.1145,5.30745,J1524.1+2955,RMJ152407.4+295320.3,3,0.8183376001975045,0.9858251178878241
108,183,PSZ2 G047.48+37.37,252.57869730000002,27.035119399999996,0.24,4.194511,            ,                    ,0,0.8288215518183658,0.6522670337373292
109,185,PSZ2 G047.71-59.47,342.12059589999996,-16.1084427,0.2472,4.610344,J2248.5-1606,                    ,32,0.8328073262357681,-1.0380826521480693
110,186,PSZ2 G047.73-60.15,342.75836539999995,-16.4001504,0.1221,3.364438,J2251.0-1624,                    ,32,0.8331557458495474,-1.0499184377718553
111,187,PSZ2 G048.08-46.63,330.5730593,-9.8894681,0.0809,2.110695,J2202.0-0949,                    ,32,0.8391849587668552,-0.813849220404348
112,188,PSZ2 G048.09+27.18,263.5648682,24.544346899999997,0.7360800000000001,6.1348519999999995,            ,                    ,0,0.8393904201217636,0.474525863465723
113,189,PSZ2 G048.10+57.16,230.31608619999997,30.6278283,0.0777,3.589891,J1521.2+3038,RMJ152120.6+304015.4,3,0.8396335431569354,0.9977108276784858
114,190,PSZ2 G048.21-65.00,347.43972510000003,-18.3100163,0.42,5.59969,            ,                    ,32,0.8415939765205761,-1.1346346430370626
115,191,PSZ2 G048.24-51.59,335.0523387,-12.1975324,0.544,7.330888000000001,            ,                    ,32,0.8420815436508329,-0.9004848384326407
116,194,PSZ2 G048.75+53.18,234.96694,30.6959593,0.098,2.5281860000000003,J1539.8+3043,RMJ153950.8+304304.0,3,0.8509788295894688,0.9281819863836034
117,195,PSZ2 G048.91-25.55,312.6791239,1.3960003,0.3334,5.441668,J2050.7+0123,                    ,35,0.8536584518279685,-0.44596142010016887
118,196,PSZ2 G049.09+25.23,265.9154753,24.740320399999998,0.141,3.6821839999999995,            ,                    ,0,0.8568410458472433,0.44050956106981787
119,197,PSZ2 G049.18+65.05,221.11935840000004,31.233363,0.23399999999999999,4.729747,J1444.3+3114,RMJ144431.8+311336.0,3,0.8585138830594218,1.1354657333020035
120,198,PSZ2 G049.22+30.87,260.0217248,26.6315826,0.1644,5.904146,J1720.1+2637,RMJ172003.3+263839.8,0,0.8590711543382968,0.5388780196615103
121,199,PSZ2 G049.32+44.37,245.1403524,29.894136600000003,0.0972,3.671208,J1620.5+2953,RMJ162031.1+295327.7,1,0.860851114552954,0.7744226585291056
122,200,PSZ2 G049.69-49.46,333.6176062,-10.3524379,0.098,3.6317489999999997,J2214.5-1022,                    ,32,0.8673769583195252,-0.8633142974924654
123,201,PSZ2 G049.80-25.16,312.7712805,2.2844662000000002,0.3211,6.392646,J2051.1+0216,                    ,35,0.8692405344356646,-0.4392694869630603
124,202,PSZ2 G050.06-27.32,314.7312174,1.3563281,0.33399999999999996,6.597796000000001,            ,                    ,35,0.8738483060804969,-0.47687626891938323
125,203,PSZ2 G050.40+31.17,260.03231830000004,27.688184600000003,0.16399999999999998,4.331068,J1720.1+2740,RMJ172009.6+274008.1,0,0.8797250622838362,0.5440586662529644
126,204,PSZ2 G050.46+67.54,218.16803219999997,31.5878716,0.1313,2.923395,J1432.4+3137,RMJ143242.6+313407.1,3,0.8807536253260851,1.1789526322691524
127,209,PSZ2 G052.35-31.98,319.7375192,0.5438782,0.264975,4.588255,            ,RMJ211849.1+003337.2,35,0.9138049101658333,-0.5582959062892913
128,211,PSZ2 G053.44-36.25,323.79915869999996,-1.0448464,0.33,7.453945,            ,RMJ213512.2-010255.8,33,0.9327090996465796,-0.6327878895361155
129,212,PSZ2 G053.53+59.52,227.5546126,33.4914783,0.113,5.850329,J1510.1+3330,RMJ151011.7+332911.3,3,0.9343416479051834,1.038938960201105
130,213,PSZ2 G053.55-29.85,318.5153992,2.5707132,0.0494,1.7961740000000002,J2113.8+0233,RMJ211356.0+023348.1,35,0.934683446987819,-0.5210770074047285
131,214,PSZ2 G053.63-41.84,328.5449167,-4.0019404000000005,0.1509,3.257652,J2154.2-0400,RMJ215413.1-035953.2,33,0.9360802028853731,-0.7302696057663594
132,215,PSZ2 G053.64-34.48,322.410144,0.07330360000000001,0.2347,4.338451999999999,J2129.6+0005,RMJ212940.0+000521.2,33,0.9362024084943623,-0.6017976627373882
133,217,PSZ2 G053.88-64.60,348.2366745,-15.9875186,0.262,4.972126,            ,                    ,32,0.9404465304611364,-1.1275387617285126
134,218,PSZ2 G053.99-45.06,331.39185130000004,-5.5580595,0.0582,1.783753,J2205.6-0535,RMJ220535.5-053209.7,33,0.9424505777599423,-0.7865537285600818
135,219,PSZ2 G054.85+54.30,233.8283054,34.3446164,0.2347,4.385536,            ,RMJ153519.5+342128.7,3,0.9573360452842222,0.9477335848137782
136,220,PSZ2 G054.95-33.39,322.11802830000005,1.5874348999999999,0.392,7.323019,            ,RMJ212826.3+013603.1,33,0.9591687655119547,-0.5827894029883884
137,221,PSZ2 G054.99+53.41,234.90178430000003,34.4313456,0.22899999999999998,5.727958999999999,J1539.7+3424,RMJ153940.5+342527.3,3,0.9598957287311918,0.9322719221371669
138,222,PSZ2 G055.59+31.85,260.6149937,32.135407300000004,0.22399999999999998,7.778519999999999,J1722.4+3208,RMJ172227.2+320757.2,1,0.9702804949377409,0.5560599880564335
139,223,PSZ2 G055.80+32.90,259.462356,32.5608433,0.1054,2.578606,J1717.8+3235,RMJ171755.7+323437.6,1,0.9740434246626363,0.5743322074641767
140,224,PSZ2 G055.95-34.89,323.82599839999995,1.4104545,0.231,6.731694999999999,J2135.2+0125,RMJ213518.8+012527.0,33,0.9765851371039691,-0.609053592188078
141,225,PSZ2 G056.14+28.06,265.0747664,31.603019300000003,0.426,5.529974,            ,                    ,0,0.9798595323045858,0.4898286505471655
142,227,PSZ2 G056.62+88.42,194.49226069999997,27.7527904,0.045041000000000005,3.295758,            ,                    ,3,0.9882439864926117,1.5432565647240977
143,228,PSZ2 G056.77+36.32,255.66630940000002,34.0510722,0.0953,4.379626,J1702.7+3403,RMJ170245.5+340340.1,1,0.9908882311735708,0.6339115111024586
144,229,PSZ2 G056.79-11.60,304.74104819999997,15.1262015,0.122,4.006226,            ,                    ,35,0.9912740591769513,-0.20259302556626987
145,230,PSZ2 G056.93-55.08,340.83409710000006,-9.595095,0.447,9.992374,J2243.3-0935,RMJ224319.8-093530.9,32,0.9937042970484848,-0.9613991764599139
146,231,PSZ2 G057.08-74.45,357.7825965,-19.9825014,0.248,4.707928,            ,                    ,32,0.9963919059866873,-1.2995652656483656
147,233,PSZ2 G057.25-45.34,332.93076460000003,-3.8292288999999995,0.397,10.503954,J2211.7-0349,RMJ221145.9-034944.5,33,0.9992738794039594,-0.7915024447700997
148,234,PSZ2 G057.61+34.93,257.46716549999996,34.4612867,0.0802,3.731657,J1709.8+3426,RMJ170948.6+342728.3,1,1.0056296263675886,0.6097749860663816
149,235,PSZ2 G057.73+51.58,237.141313,36.1033597,0.2382,5.586019,            ,RMJ154833.7+360535.7,1,1.0076320582115594,0.9002437549677399
150,236,PSZ2 G057.78+52.32,236.21485589999998,36.121905600000005,0.0654,2.3794459999999997,J1545.0+3603,RMJ154459.0+360634.0,1,1.0085050774238689,0.9132995092166193
151,237,PSZ2 G057.80+88.00,194.9117967,27.953678999999998,0.0231,7.165297,J1259.7+2756,                    ,3,1.008847140230101,1.5359218575160063
152,238,PSZ2 G057.92+27.64,266.0678139,32.9986431,0.0757,2.683969,J1744.2+3259,                    ,0,1.0109138234896278,0.48247399311319666
153,240,PSZ2 G058.29+18.55,276.3360462,30.4319956,0.065,3.8820019999999995,J1825.3+3026,                    ,0,1.017473311516347,0.32377106308170334
154,243,PSZ2 G058.81-49.68,337.0708369,-5.5274217000000005,0.52,6.714546,            ,                    ,33,1.02652948160999,-0.867175819703859
155,244,PSZ2 G059.18+32.91,260.202874,35.3248063,0.38299999999999995,5.213302,            ,                    ,1,1.0329086892700972,0.5744406660096404
156,245,PSZ2 G059.29+44.49,245.99014920000002,36.972902500000004,0.342746,5.758566,            ,RMJ162356.7+370019.0,1,1.0348164819087677,0.7765990645181368
157,246,PSZ2 G059.47+33.06,260.0785949,35.6001976,0.387,6.087978,J1720.2+3536,                    ,1,1.0380855360663677,0.5771553566125114
158,248,PSZ2 G059.72-46.21,334.648408,-2.9574109,0.0902,2.2257830000000003,J2218.8-0258,RMJ221848.0-025824.9,33,1.042322099273794,-0.8065316825961788
159,250,PSZ2 G059.81-39.09,329.0382714,1.4209954,0.22399999999999998,4.991002,            ,RMJ215608.6+012327.4,33,1.0440246180964308,-0.6823579603230826
160,251,PSZ2 G060.00-18.68,312.587397,13.7468719,0.221,4.584714,            ,                    ,35,1.0472652107086993,-0.3260782107602276
161,252,PSZ2 G060.10+15.59,280.2784059,30.932246600000003,0.19,4.666568,            ,                    ,0,1.0490124017428062,0.27211093206086107
162,253,PSZ2 G060.13+11.44,284.6834151,29.2856732,0.22399999999999998,5.528235,            ,                    ,22,1.0494912363853794,0.1996686838403934
163,254,PSZ2 G060.16+64.50,221.07374930000003,35.9376364,0.360746,4.999158,            ,RMJ144415.9+355713.1,3,1.050098846866122,1.1257427257220682
164,255,PSZ2 G060.55+27.00,267.5744571,35.0760545,0.1712,3.4804239999999997,J1750.2+3504,                    ,1,1.0568373219032732,0.47130268785948726
165,256,PSZ2 G061.47-14.69,310.04518039999994,17.2001385,0.16899999999999998,3.768758,J2040.1+1712,                    ,35,1.0729289087563956,-0.256390067817341
166,257,PSZ2 G061.75+88.11,194.727,28.0230805,0.043605,3.4022629999999996,            ,                    ,3,1.0778410913452907,1.537954346266737
167,258,PSZ2 G062.44-46.43,335.9856665,-1.6169120000000001,0.0906,3.4668400000000004,J2223.8-0138,RMJ222356.9-013459.7,33,1.089833581011114,-0.810362185678565
168,259,PSZ2 G062.46-21.35,316.2128914,14.034705800000001,0.1615,4.334959,J2104.9+1401,                    ,35,1.0901730852432427,-0.3726984552933523
169,260,PSZ2 G062.94+43.69,247.1564639,39.560224,0.0299,2.8724060000000002,J1628.6+3932,RMJ162838.2+393304.5,1,1.0986263148807511,0.7626392334068212
170,261,PSZ2 G063.38+53.44,234.5072691,39.4147313,0.422033,6.2395830000000005,            ,RMJ153754.2+392444.8,1,1.1062541371563084,0.9328261109976627
171,262,PSZ2 G063.80+11.42,286.4733475,32.5458878,0.426,6.208444999999999,            ,                    ,22,1.1136578103740122,0.1993370746383354
