index,NAME,RA,DEC,LAMBDA,Z_SPEC,pix
321,RMJ020328.7-094900.0,30.869613581920124,-9.81667058721761,79.89451600000002,0.32168245,36
322,RMJ233641.3-012723.7,354.1721290101927,-1.4565911372475475,55.94420600000001,0.18508427,33
323,RMJ160706.5+065824.0,241.7770430834267,6.973333910395086,71.80938,0.28794840000000005,2
324,RMJ015334.5+053754.7,28.393949645388545,5.631869227700157,72.96876,0.3165679,37
325,RMJ134553.6+364903.4,206.47345765955788,36.81760707249053,63.327614,0.25614446,3
326,RMJ104651.7+090418.2,161.71527027301585,9.071726367732028,58.705353,0.22061707,11
327,RMJ123114.1+072612.2,187.8086057912543,7.436721715052724,86.179565,0.40181533,15
328,RMJ120920.0-021330.2,182.3333150365144,-2.2250491104540786,53.213562,0.17605157,14
329,RMJ091211.2+133839.0,138.04673557562737,13.644154442094408,55.37976999999999,0.17804585,10
330,RMJ115030.3+065019.1,177.62619694957294,6.838648994258309,65.92096,0.30133146,11
331,RMJ144319.7+274846.1,220.83204399913132,27.81280426580574,66.79049,0.26364478,3
332,RMJ014708.4+153705.6,26.78479347743138,15.618217426827595,143.46199,0.502001,37
333,RMJ222927.5+031719.3,337.3645085605786,3.2886925912446783,62.30552700000001,0.29561305,33
334,RMJ091154.5+105748.9,137.97693822518124,10.963583068229275,54.22039,0.16417079,10
335,RMJ100531.5+023518.4,151.38137828879584,2.5884431977195863,84.21167,0.3696014,9
336,RMJ105250.1+090101.3,163.2089401232631,9.017028246554533,54.6933,0.16763484,11
337,RMJ112946.1+195518.5,172.44208402816486,19.921793831554933,40.643463,0.13180713,11
338,RMJ152020.3+020233.9,230.0844588541032,2.042744900562105,67.27865,0.24333121,2
339,RMJ081710.5+075344.3,124.29372938682673,7.895638640898434,86.40839,0.25446567,8
340,RMJ152938.3+214823.6,232.40973291033387,21.806550044133786,78.94870999999998,0.35151738,3
341,RMJ024540.3-004322.6,41.417710255121996,-0.7229396030341844,47.37091,0.18211605,37
342,RMJ011712.7+150106.6,19.302895958835567,15.018507114185836,65.76841,0.267365,36
343,RMJ080942.0+045624.5,122.42517628483698,4.940140486353888,65.35651999999999,0.15277286,8
344,RMJ101129.7+082105.7,152.87370494805958,8.351576280381218,67.49221999999999,0.27402622,9
345,RMJ135431.2+040137.7,208.6301794990001,4.027129023627999,70.75678,0.2565849,15
346,RMJ001737.6-005242.0,4.406711392790498,-0.8783404073160839,56.996796,0.21242407,36
347,RMJ153754.2+392444.8,234.47593731687738,39.412446254858814,87.35419499999998,0.43419582,1
348,RMJ091944.3+562201.4,139.93443168615832,56.36705741619002,67.03457,0.27778307,5
349,RMJ095726.5+590219.2,149.36031159860354,59.038664953190406,75.68414,0.35628492,5
350,RMJ110730.9+075932.4,166.87885195475968,7.9923348000364856,48.02687,0.1611088,11
351,RMJ102757.9+103348.6,156.99111011308236,10.563508285011816,51.718575,0.11049999,11
352,RMJ001852.8+073213.2,4.720038255742168,7.5370090829525225,74.128136,0.3127452,38
353,RMJ092049.7+024513.9,140.20708434078804,2.7538617368014613,72.54162,0.28415337,8
354,RMJ150737.5+000224.4,226.90639568566243,0.04010120922353412,63.297104,0.23152463,13
355,RMJ162054.3+444201.7,245.22622853002446,44.70048357151421,60.49019000000001,0.21633835,1
356,RMJ004951.6+031454.4,12.464931479877293,3.248433902333489,116.277626,0.4458105,36
357,RMJ151129.2+143939.2,227.8716475470044,14.660882731323914,51.718575,0.17975582,2
358,RMJ143745.1+483524.0,219.4377634311955,48.590013242975985,37.10431,0.122714475,1
359,RMJ145611.1+302103.9,224.046106225882,30.35109649414109,93.41042,0.41424656,3
360,RMJ234623.9+004457.9,356.5995490597057,0.7494169259045094,65.95147,0.27463478,38
361,RMJ155615.3+213506.4,239.0639155254196,21.58511004382372,50.467667,0.19715023,2
362,RMJ000810.4+020112.3,2.04332383123392,2.020089786747332,75.790924,0.3650686,38
363,RMJ102155.6+344103.3,155.4814771880675,34.68424236599803,44.899605,0.14685455,10
364,RMJ081435.5+271915.7,123.6477564273883,27.32102064004727,81.29796999999998,0.28718245,10
365,RMJ220128.0-083407.7,330.36645907437884,-8.568793608360902,73.89931,0.35073259999999995,33
366,RMJ125551.0+080204.9,193.96232366755527,8.034698201445325,87.27792,0.40049595,15
367,RMJ084016.3+065052.3,130.06811576551434,6.847849632983028,71.15341,0.2331223,8
368,RMJ073228.6+373702.9,113.11904141641416,37.61748088958905,56.85950500000001,0.20343745,27
369,RMJ095720.7+095252.4,149.33625669754028,9.88121134102533,62.24450699999999,0.28037384,11
370,RMJ095759.3+032725.9,149.49718945671611,3.4571806741674616,44.792816,0.16532916,9
371,RMJ112639.4-002043.8,171.6643115932108,-0.34550473447733754,64.60903,0.33424196,9
372,RMJ082020.9+284930.7,125.0869665365,28.825204696836533,114.85892,0.43723428,10
373,RMJ010139.5+023654.6,15.414468800900181,2.61515410182849,71.80938,0.32771292,36
374,RMJ150948.0+595037.1,227.45020770551886,59.843634665725105,67.50748,0.30126762,6
375,RMJ093426.8+241035.7,143.61165595990204,24.17658238234261,65.79892,0.28992686,10
376,RMJ214458.1-072739.3,326.241931542143,-7.46091258028883,62.107216,0.19864754,33
377,RMJ002400.3+003007.3,6.001290654842478,0.5020231985390461,58.323982,0.29230937,36
378,RMJ005929.2+034320.1,14.871674890911038,3.722240514898768,62.625885,0.27152774,36
379,RMJ013320.6+133239.1,23.33588550805769,13.544184892017569,90.03907,0.39668733,36
380,RMJ233322.1+053644.1,353.3419863257998,5.612247567635932,49.55237,0.17705579,38
381,RMJ095409.7+360315.5,148.54051418887218,36.05429602363677,64.10561,0.29098254,10
382,RMJ104451.5+353137.2,161.21472465788034,35.52698712280235,50.330376,0.1576769,10
383,RMJ094948.9+291655.5,147.4538487931481,29.282086299787284,61.49701700000001,0.21097869,10
384,RMJ015426.9-032119.9,28.61210305911368,-3.3555148934862515,109.68748,0.4415624,36
385,RMJ150424.1+470918.0,226.10029989489018,47.154988163667234,67.40069,0.26544058,1
386,RMJ083459.6+065706.5,128.74850417383874,6.95180807037166,68.22446,0.3222796,8
387,RMJ100050.3+203923.0,150.2093981700947,20.65638073643917,77.68254,0.34173003,10
388,RMJ115039.1+145259.1,177.66305185216262,14.883082345695145,61.222427,0.32777324,11
389,RMJ074809.6+374341.6,117.03980949622273,37.72821423855815,71.79411999999998,0.34043938,27
390,RMJ021056.4-061154.3,32.73503675124163,-6.198413924080197,93.99011,0.4292596,37
391,RMJ150157.0+163158.1,225.48761000803108,16.532806835413908,41.69606,0.15177488,2
392,RMJ222339.2+173620.9,335.9132389302152,17.605804061460713,72.16024,0.35509902,33
393,RMJ103928.1+301104.8,159.8669744639828,30.184654866167946,80.931854,0.3728114,11
394,RMJ235309.5+134555.1,358.2896050293074,13.765319197422352,54.32718000000001,0.25558016,38
395,RMJ220748.4+114439.0,331.9516162224785,11.744153362056975,51.871124,0.15360598,33
396,RMJ161505.4+073455.4,243.77268879257198,7.582051256364566,83.64724,0.338322,2
397,RMJ104926.1+033924.7,162.358839916762,3.6568693169597424,45.082664,0.14971851,9
398,RMJ213532.9-070900.3,323.8872006116475,-7.150077722194908,76.40111999999998,0.36532202,35
399,RMJ153119.6-000753.0,232.83147657345833,-0.1313760453804278,70.8178,0.34104064,2
400,RMJ021227.0-053735.6,33.11244922348698,-5.626558110873388,65.67688000000001,0.29990962,37
401,RMJ144756.9+144532.6,221.98722885630315,14.759060555711734,66.36335,0.21462625,2
402,RMJ104148.2+013218.3,160.45070546241095,1.5384035962099996,38.309456,0.38624406,9
403,RMJ014627.1+141510.6,26.612969655428227,14.252934822040885,70.83306,0.3723907,37
404,RMJ072705.2+384613.4,111.77184093018101,38.7703835118482,59.74269,0.21012388,27
405,RMJ104527.9+382100.5,161.36627382527251,38.350135304701325,73.62472,0.3299994,10
406,RMJ114329.6-014430.0,175.873492459037,-1.7416596029785318,41.3757,0.106046475,14
407,RMJ152637.1+440621.6,231.65470660972005,44.10598806958768,85.55411,0.38813534,1
408,RMJ233419.3-002528.5,353.58053132416427,-0.4245893007240348,91.854416,0.46129274,33
409,RMJ150804.1+281002.6,227.0169224025436,28.16739344579298,102.27356,0.44055402,3
410,RMJ115756.8+191219.0,179.48667615329566,19.20528879041889,87.88812,0.42283872,11
411,RMJ112820.7+473041.0,172.08632451094627,47.51137527424743,75.363785,0.32833606,7
412,RMJ154157.1+424918.8,235.48776262058053,42.82189286906493,57.347664,0.24758336,1
413,RMJ110347.4+274004.1,165.9477034135975,27.66781458367857,92.418846,0.42005846,11
414,RMJ110422.3-010209.9,166.09283748834883,-1.0360944430763677,89.71871999999998,0.42677742,9
415,RMJ170600.5+365728.5,256.5021407366379,36.957907785453074,70.13133,0.278469,1
416,RMJ155653.4+452017.7,239.2227005012262,45.33825433111747,56.676445,0.22977026,1
417,RMJ102307.9+070628.5,155.78306142895573,7.107912028759197,62.412315,0.29018813,9
418,RMJ134526.8+134356.4,206.36146314750889,13.732340540647874,48.66758,0.15181032,15
419,RMJ001245.4+082347.1,3.189293449670515,8.396426411403992,78.55208,0.36050582,38
420,RMJ120923.7+264046.7,182.34869461341668,26.67964431924705,185.3674,0.5586365,11
421,RMJ123446.1+230101.0,188.6919273716187,23.01695386326384,79.57415999999998,0.32283753,11
422,RMJ103730.8+404346.3,159.3783853408529,40.72951683247363,67.61426,0.34533918,5
423,RMJ081954.9+315854.8,124.9786328449642,31.981876902133823,125.30857,0.49006733,10
424,RMJ014729.5-031758.0,26.872874840761128,-3.299457392613148,64.18189,0.26083204,36
425,RMJ085910.0+294957.7,134.7917569883885,29.832688987648982,47.6455,0.26556247,10
426,RMJ144149.3+131823.9,220.45522116987462,13.306625124568127,41.040092,0.12118348,2
427,RMJ124947.9+355528.9,192.44953926572705,35.92470773123723,95.36306,0.42156875,7
428,RMJ141425.1+271020.2,213.6044797754744,27.172285014310397,50.696495,0.16154648,3
429,RMJ001958.7+143636.8,4.99475736649498,14.610211514631242,72.20600999999998,0.30605920000000003,38
430,RMJ094447.1+024357.8,146.19638986886724,2.732719135694309,64.65479,0.22427812,9
431,RMJ145332.1+280358.0,223.38383466344658,28.066118486576208,65.82943,0.25357524,3
432,RMJ023824.7-034823.6,39.60289043434123,-3.8065632484445096,73.07554,0.32468270000000005,37
433,RMJ122409.4+574259.5,186.03919289189795,57.716540452406775,54.78483000000001,0.21677129,7
434,RMJ092015.2+082737.7,140.06322230172336,8.460475089996818,139.48044,0.49833316,8
435,RMJ134353.8+324335.3,205.97406328175973,32.72646331379757,62.473335,0.28465417,3
436,RMJ014816.0+125456.8,27.066670546805486,12.915784769679187,47.142082,0.15782157,37
437,RMJ085405.4+542549.0,133.52247562431563,54.43028733898257,56.432365,0.23636277,5
438,RMJ094645.0+093541.7,146.68747917387316,9.594926145843305,53.83902,0.18805876,11
439,RMJ154301.3+054825.6,235.7556092049716,5.8071129397563945,47.050552,0.1104393,2
440,RMJ111124.4+140850.5,167.85166722813054,14.147374229840475,50.910065,0.22106525,11
441,RMJ151117.0-000749.3,227.82076096196965,-0.13035420841124584,41.40621,0.09209466,13
442,RMJ152117.0+281120.9,230.32065866896758,28.189130916353196,41.162132,0.11966477,3
443,RMJ141231.8+140041.1,213.13236214806253,14.0114135233348,44.579247,0.13981456,3
444,RMJ213643.4+102228.4,324.18075482430413,10.37455658423493,60.55121,0.29516679999999995,33
445,RMJ164037.7+275528.9,250.1569317803172,27.924701147983562,37.53145,0.14224195,1
446,RMJ085404.5+290312.8,133.51888762663285,29.05354271790405,42.71814000000001,0.08436551,10
447,RMJ135806.5+211853.8,209.52691661884083,21.314940840329328,87.8271,0.42697868,3
448,RMJ154617.8+021348.8,236.5741020025309,2.2302198823439,69.109245,0.24716824,2
449,RMJ235303.1+031014.6,358.26296906916224,3.1707151180254893,56.90526600000001,0.2267369,38
450,RMJ072302.0+420804.5,110.75841613167708,42.13458441433213,43.32834,0.16120706,27
451,RMJ124500.4+023124.0,191.25167689294392,2.5233332054304256,119.84729,0.49202323,15
452,RMJ101241.5+055811.3,153.17303565289257,5.969793862668504,85.23376,0.40838486,9
453,RMJ162353.9+475734.4,245.97465076974163,47.95955323574091,56.005226,0.19667421,1
454,RMJ211748.5+073229.4,319.4521126620103,7.541487260276981,38.309456,0.13057205,33
455,RMJ130156.8+332532.1,195.4867795463248,33.425589762859595,50.315117,0.18629368,7
