,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
301,RMJ002307.2-000348.6,5.780111977150966,-0.06350509606867402,0.16365643,49.170998,0.99911475,0.16111502,0.0,20.310528,18.12673,16.914028,16.41128,16.041512,33.321396
302,RMJ002510.9+080756.5,6.295421498484075,8.132370513818138,0.18850644,68.13293,1.0212531,0.18613274,0.0,20.005108,18.032942,16.73854,16.251047,15.890161,41.22394
307,RMJ094110.2+123413.8,145.29230354735324,12.57049580867383,0.17760764,71.41275,1.0262886,0.18003608,0.0,20.138567,18.171942,16.969494,16.448763,16.104322,46.783363
309,RMJ115319.3+075557.0,178.3302441184142,7.932494639319433,0.43412864,119.16082,1.2370192,0.42970052,0.0,24.43946,20.965395,19.230774,18.488346,18.069937,78.75238
310,RMJ145955.5+230737.6,224.9813032880457,23.127106815038424,0.17977299,69.64317,1.0050745,0.18120526,0.0,19.244228,17.0955,15.812499,15.342288,14.966619,44.306477
311,RMJ011227.8+033302.0,18.115872518708898,3.550548687052951,0.39076945,121.83044,1.1355916,0.4006502,0.0,23.991291,20.959074,19.120632,18.537167,18.105904,72.76691
312,RMJ094655.3+151126.5,146.73028244800727,15.190685794046916,0.23470041,76.29434,0.9976441,0.2406286,0.0,21.76603,18.891945,17.391804,16.868975,16.491346,50.10624
314,RMJ084605.8+365654.4,131.5241507691578,36.94843215294033,0.28772032,83.18959,1.0760645,0.28636032,0.0,21.231112,19.382334,17.834293,17.261673,16.833681,59.103462
316,RMJ082930.6+370143.1,127.37754522498582,37.02864194895725,0.33732128,78.4758,0.9989043,0.32396904,0.0,21.463024,19.57112,17.91381,17.328838,17.003159,56.249096
317,RMJ162332.8+272149.2,245.8866421058844,27.363663093723968,0.45125815,132.63097,1.3919122,0.4286144,0.0,25.854305,20.250357,18.320232,17.56098,17.215414,83.13831
318,RMJ114551.8-022010.5,176.46580071321122,-2.3362479351930587,0.122037075,53.48815,1.0493077,0.121508844,0.0,18.894356,16.934607,15.880421,15.436063,15.1091795,34.93775
320,RMJ120435.1+035723.1,181.14640472185442,3.9564206131855975,0.1705602,68.56007,1.0322667,0.16266395,0.0,18.978909,16.886343,15.629791,15.168056,14.878995,50.3147
323,RMJ113825.4+270221.2,174.60567644837727,27.039225989817176,0.32088694,84.9134,0.9983737,0.30827835,0.0,21.92827,20.11662,18.483274,17.931213,17.656134,60.713528
330,RMJ115949.9+282051.9,179.95796173999105,28.347738323595543,0.33893466,98.368286,0.9926746,0.33671585,0.0,24.477757,20.293917,18.5792,18.01093,17.707123,61.526073
331,RMJ103652.7+445235.0,159.2194344698466,44.876391180805776,0.118440986,58.140923,0.9999181,0.12359836,0.0,18.974792,16.735067,15.709288,15.275585,14.913406,40.262768
334,RMJ012900.7-084520.2,22.25282441748736,-8.755604808670276,0.3578919,93.730774,1.0057964,0.35849252,0.0,20.811731,19.436392,17.732302,17.092163,16.739294,70.46302
336,RMJ153521.7+372345.8,233.84050489542184,37.396055343540134,0.15768652,54.20514,0.99780643,0.1536661,0.0,19.064219,16.953625,15.763906,15.337228,14.971268,44.30154
337,RMJ120353.5+014700.5,180.9727591822912,1.7834583508627995,0.24152568,80.12334,0.9961839,0.23674636,0.0,21.405916,19.386438,17.994848,17.491026,17.136778,64.17193
338,RMJ015716.0-000718.2,29.316637236655254,-0.12171413165781608,0.39379823,101.1752,1.096324,0.38782883,0.0,21.895763,20.274124,18.559319,17.925894,17.5671,63.844463
340,RMJ093356.0+385239.0,143.4834801346662,38.87750945781202,0.24577191,68.666855,1.0028566,0.24556407,0.0,21.684818,19.11288,17.608347,17.055283,16.675816,44.73997
341,RMJ073720.9+351741.7,114.33720906162358,35.29491907023847,0.20893908,76.1723,1.0794551,0.21040428,0.0,19.553268,17.82646,16.54711,16.06059,15.797013,48.224014
346,RMJ145656.7+064650.9,224.23634084731412,6.780796727198579,0.3313297,85.70666,1.0066377,0.3123292,0.0,20.523453,18.881386,17.20939,16.652472,16.306347,71.88982
348,RMJ230739.9+013055.8,346.91626010307255,1.5155092100714385,0.38596502,107.93316,1.0747037,0.3881683,0.0,21.653744,19.866764,18.161777,17.515747,17.092667,69.48867
349,RMJ154126.5+044355.2,235.36044301080486,4.731995586641538,0.116770715,53.38137,1.0166448,0.10939936,0.0,18.77942,16.717403,15.672967,15.231532,14.93569,31.32597
353,RMJ084229.7+081808.2,130.62388650354953,8.302270549029993,0.23589924,80.626755,1.0111318,0.21568167,0.0,20.87739,18.782179,17.33489,16.81076,16.479937,60.09358
