,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
12438,12438,RMJ101835.3+365027.9,154.64704749670196,36.84109577531173,51.245674,0.46778625
12439,12439,RMJ132907.7+013432.1,202.28216002039142,1.5755755268869065,38.614554999999996,0.34800214
12441,12441,RMJ132839.8+512911.7,202.16568070077665,51.48658291581706,56.798485,-1.0
12442,12442,RMJ123953.3+385150.1,189.97206709855672,38.86390892381608,31.231146000000003,0.36224616
12444,12444,RMJ131222.8+071536.1,198.09507960321952,7.260040935569843,30.315846999999998,0.3235332
12446,12446,RMJ113716.2+104206.2,174.3176047484376,10.701708856369514,34.663513,-1.0
12448,12448,RMJ222701.5+103048.7,336.7561930224313,10.513537906744316,72.84671999999999,0.551603
12453,12453,RMJ075231.5+310024.3,118.13142902284149,31.006754234918876,42.85544,0.396786
12454,12454,RMJ012409.3+142410.8,21.03856225250411,14.403002649832453,91.57983,-1.0
12455,12455,RMJ225934.1+174004.3,344.89189883970187,17.66785415485259,74.906136,-1.0
12457,12457,RMJ222847.3-063129.6,337.19690197773946,-6.524883095533983,33.961784,-1.0
12461,12461,RMJ141228.9+223254.8,213.12049360223412,22.54854337262727,36.57039,-1.0
12462,12462,RMJ114707.3+425448.0,176.78033006617082,42.91334446721867,36.86023,0.45354298
12465,12465,RMJ005007.2+195637.3,12.53017975404293,19.943703775960635,55.44079,-1.0
12467,12467,RMJ084857.5+633310.6,132.23939825622963,63.55294933537207,46.287804,0.35594764
12468,12468,RMJ171726.2+260425.6,259.359289804888,26.073789393434147,42.79442,0.707121
12470,12470,RMJ014207.4+113826.5,25.530954253179175,11.64068783762224,50.040527000000004,-1.0
12472,12472,RMJ114059.5+610707.3,175.24808357066811,61.11869880403874,46.104744000000004,0.47694135
12475,12475,RMJ015555.3+131911.1,28.980603015313026,13.319758772132586,31.963385,-1.0
12476,12476,RMJ215902.0-002706.5,329.75851231124335,-0.4517995971917183,80.382675,-1.0
12477,12477,RMJ125035.9-013214.1,192.6496485430461,-1.5372544542062658,34.633003,0.3690016
12478,12478,RMJ135016.7+020623.9,207.56944428006423,2.1066305408711177,50.330376,0.48404719999999996
12479,12479,RMJ112457.8+400410.4,171.24074562202009,40.06955345988166,40.9028,0.41774037
12482,12482,RMJ235125.8+225124.9,357.8575478930255,22.85691214897548,46.85224,-1.0
12483,12483,RMJ124646.4+111322.3,191.69319450458846,11.222868034254224,34.907593,-1.0
12484,12484,RMJ093745.7+233713.9,144.4406009147386,23.620524688718877,53.9458,-1.0
12485,12485,RMJ091106.2+322409.6,137.77570334747992,32.40265899960847,34.663513,-1.0
12486,12486,RMJ105144.4+515815.8,162.93498264704556,51.9710629669385,35.41101,0.3530994
12487,12487,RMJ234927.4+113231.1,357.364278096743,11.541960702018757,50.055786,-1.0
12489,12489,RMJ101044.4+225403.1,152.68501799089262,22.90084860761489,43.099517999999996,0.44548455
12491,12491,RMJ160241.6+620509.2,240.67333113993266,62.08587531699182,58.644332999999996,-1.0
12494,12494,RMJ120245.9+454200.5,180.69116313399448,45.70012527481753,31.627775,0.3562855
12496,12496,RMJ231531.8-103406.1,348.88257441481886,-10.56834742107241,30.651457,-1.0
