,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
10753,15550,RMJ143213.5+555824.6,218.0563926214848,55.97349936700595,0.5118819,50.101547,2.1707063,-1.0,0.0,21.905920000000002,20.991636,19.477985,18.595589,18.476046,29.133616999999997
10763,15565,RMJ001349.4+152833.6,3.4558067166440765,15.476001619561426,0.48151815,56.493384999999996,2.204466,-1.0,0.0,23.625084,21.400646,19.832203,19.003643,18.581575,30.831707
10767,15570,RMJ110142.7+290845.7,165.42797631871068,29.146033236392366,0.4956102,51.184653999999995,1.9661383999999997,-1.0,0.0,22.865783999999998,22.030304,20.166233,19.34454,18.825948999999998,25.749304000000002
10770,15574,RMJ004458.8+221056.0,11.245097059498503,22.18222763195117,0.4643661,51.627045,1.8634648,-1.0,0.0,22.910082,20.606486999999998,18.847282,17.989742,17.557404000000002,26.435295
10784,15607,RMJ225450.8+305816.8,343.71171714590605,30.971326539241748,0.48911056,51.718575,1.8522537000000001,-1.0,0.0,27.086221999999996,20.27949,18.652163,17.734581,17.360560999999997,34.538334000000006
10785,15610,RMJ222535.0+065517.7,336.3958799113434,6.9215881423983205,0.52090913,55.395027,2.5395124,-1.0,0.0,26.752476,21.464622,19.624992000000002,18.577343,18.139038,32.108703999999996
10789,15616,RMJ080121.7+520538.6,120.34032014545731,52.09404597220971,0.5395083,68.331245,2.5720901,0.51049775,0.0,25.253829999999997,22.665178,21.076721,20.087002,19.662422,32.122528
10834,15709,RMJ155650.7+443755.3,239.2112074942864,44.63201574080806,0.5744583000000001,77.07234,2.62702,-1.0,0.0,23.058748,22.548391,20.638613,19.796417,19.163351000000002,39.845333000000004
10835,15710,RMJ132034.9+071147.6,200.14548865526558,7.1965638990926495,0.547093,62.580116000000004,2.539523,-1.0,0.0,26.700840000000003,21.460981,19.552870000000002,18.506605,18.128227,31.239363
10836,15711,RMJ234544.0+263422.8,356.43318930753713,26.573009460137715,0.59194106,96.08004,4.138486400000001,-1.0,0.0,22.451347,22.19004,21.343157,20.324811999999998,19.538155,37.22873
