,0
384,0.5469552300657209
385,0.5486738409644177
386,0.5991071469944008
387,0.9313620419952578
388,0.4773145706390428
389,0.6673993038377015
390,0.7734783436534254
391,0.7514757244305658
392,0.4769448252151715
393,0.33984907712875595
394,0.23542493741833048
395,0.44663935430891566
396,0.5537718789832576
397,0.8961441770618306
398,0.9912482530492274
399,0.6905112505670307
400,0.9710435750138204
401,0.8890015923789445
402,0.86444856894334
403,0.6611822836986603
404,0.9108545092094169
405,0.6771713944588389
406,0.7211890287270388
407,0.850988286458541
408,0.3842417944799638
409,0.768642399731257
410,0.28161238850811093
411,0.7236138695089767
412,0.3847096767189246
413,0.5151729739901011
414,0.505390806593793
415,0.8944551776740491
416,0.959067887113419
417,0.4508556305907301
418,0.6065330749722074
419,0.9063386496290529
420,0.7041834970431804
421,0.5341317141409614
422,0.788585831940962
423,0.6505357411621007
424,0.3444859533586632
425,0.8594838477057539
426,0.9461218687046516
427,0.7938973797491365
428,0.905587373894791
429,0.8303077224480562
430,0.4633746199726102
431,0.6481007282367853
432,0.4629049486749495
433,0.9428614917732374
434,0.8533722412064227
435,0.6921259901017988
436,0.736885290467331
437,0.23916099879768188
438,0.5584143149917525
439,0.9933887957799021
440,0.4522183984248459
441,0.7322941038140045
442,0.9091664977754008
443,0.46676721756495637
444,0.6722379235752707
445,0.25921378486805907
446,0.9213097416931413
447,0.744836669478623
448,0.34310004683473594
449,0.8432348670020595
450,0.014790171420372342
451,0.9206239492831109
452,0.8411347705017528
453,0.6022230557970552
454,0.8636729312031648
455,0.7236049896025666
456,0.6537824403728997
457,0.6337852501119529
458,0.4866149503795164
459,0.6550938476572473
460,0.7578928228404289
461,0.16761635128256094
462,0.7722760331975603
463,0.8847551896771758
464,0.008581221697468147
465,0.8068543155316907
466,0.7179703283242863
467,0.5183282521519702
468,0.6639942549314132
469,0.5456611887192523
470,0.9276731476653665
471,0.557331970028909
472,0.8732898362973667
473,0.3824662934569508
474,0.3043728883370007
475,0.06972559028869486
476,0.8276773050702035
477,0.7352005860921456
478,0.6263888961087313
479,0.6940509891792942
480,0.9714061560461043
481,0.29622821184569853
482,0.18342875756367835
483,0.15299367869818167
484,0.29626478907000686
485,0.507002901510773
486,0.6914477164246092
487,0.7330253991066905
488,0.8841922938924921
489,0.9363292026345365
490,0.7289178484001885
491,0.9014657560053075
492,0.6098747289828365
493,0.4245004776317056
494,0.33859781516538323
495,0.7234308316423257
496,0.7501795653147861
497,0.9880390423466329
498,0.3419470639387038
499,0.8368767337363411
500,0.8261489695485276
501,0.8543550273858597
502,0.46812455764478633
503,0.7661344619679543
504,0.8174962509346008
505,0.7679271915640219
506,0.9443255008143273
507,0.8865728665604943
508,0.7393160227242265
509,0.5978058712485786
510,0.3091011384111743
511,0.2030385696165576
512,0.3278771352071998
513,0.9851150047006334
514,0.6206810895246108
515,0.554003703061879
516,0.7422802278965588
517,0.9966705089720985
518,0.7651003233417429
519,0.44979622196375446
520,0.7265233299580064
