,MCXC,OName,AName,RAdeg,z,M500
138,J0136.4-1811,RX J0136.4-1811   ,VMF98 15                                              ,24.101,0.251,0.5044
139,J0137.2-0912,RXCJ0137.2-0912   ,                                                      ,24.314,0.0409,0.9472
140,J0137.4-1259,RXC J0137.4-1259  ,A0222                                                 ,24.372,0.2143,2.6543
142,J0139.6+0119,RX J0139.6+0119   ,VMF98 16                                              ,24.915,0.255,0.8307
143,J0139.8+1810,BVH2007 15        ,"VMF98 17, A0227                                       ",24.974,0.176,0.9316
144,J0141.5-3034,BVH2007 16        ,                                                      ,25.385,0.442,2.6969
146,J0142.8+2025,BVH2007 17        ,VMF98 18                                              ,25.711,0.271,1.4658
148,J0144.4+0212,RX J0144.4+0212   ,VMF98 19                                              ,26.121,0.166,0.4944
149,J0144.6-2213,RXC J0144.6-2213  ,A2938                                                 ,26.174,0.2781,3.6857
152,J0150.0-3927,MS0147.8-3941     ,                                                      ,27.507,0.373,1.5266
153,J0150.7+3305,A260              ,A0260                                                 ,27.687,0.0363,0.6253
155,J0152.6-1358,BVH2007 18        ,RX J0152.7-1357 (BSHARC)                              ,28.172,0.833,3.2223
158,J0152.9+3732,RXC J0152.9+3732  ,A0263                                                 ,28.245,0.2993,4.4682
159,J0152.9-1345,RXCJ0152.9-1345   ,NGC0720                                               ,28.246,0.005,0.0434
161,J0154.2-5937,BVH2007 19        ,VMF98 20                                              ,28.552,0.36,1.412
163,J0157.1+4120,RXC J0157.1+4120  ,A0276                                                 ,29.282,0.081,1.7753
164,J0157.4-0550,RXCJ0157.4-0550   ,A0281                                                 ,29.351,0.1289,2.1808
165,J0157.4+3213,A278              ,A0278                                                 ,29.357,0.0894,1.48
166,J0158.4-0146,RXC J0158.4-0146  ,A0286                                                 ,29.618,0.1632,2.2867
167,J0159.3+0030,BVH2007 20        ,VMF98 21                                              ,29.826,0.386,2.4175
169,J0200.2+3126,RXC J0200.2+3126  ,NGC 0777                                              ,30.069,0.0168,0.2848
170,J0201.7-0212,RXCJ0201.7-0212   ,A0291                                                 ,30.434,0.196,4.3137
171,J0201.7+0344,MS0159.1+0330     ,A0293                                                 ,30.449,0.165,1.2418
172,J0202.3-4447,RXC J0202.3-4447  ,                                                      ,30.578,0.0616,0.7366
173,J0202.3-0107,RXCJ0202.3-0107   ,A0295                                                 ,30.583,0.0427,0.6177
174,J0206.3+1511,RX J0206.3+1511   ,VMF98 22                                              ,31.597,0.248,0.8941
176,J0206.8-1309,BVH2007 21        ,VMF98 23                                              ,31.708,0.321,1.7606
177,J0209.5+1946,RXC J0209.5+1946  ,A0311                                                 ,32.38,0.0657,1.3447
178,J0209.8-5116,BVH2007 22        ,                                                      ,32.47,0.206,0.8467
179,J0210.2-3932,RX J0210.2-3932   ,VMF98 24                                              ,32.557,0.168,0.3093
180,J0210.4-3929,RX J0210.4-3929   ,VMF98 25                                              ,32.607,0.165,0.3685
181,J0211.4-4017,RXCJ0211.4-4017   ,A2984                                                 ,32.856,0.1008,1.6478
183,J0214.2+5144,RXC J0214.2+5144  ,                                                      ,33.568,0.0489,1.4083
185,J0216.3-4816,RXC J0216.3-4816  ,A2998                                                 ,34.08,0.1709,2.7225
186,J0216.5-1747,BVH2007 23        ,                                                      ,34.14,0.578,2.1474
187,J0216.7-4749,RXCJ0216.7-4749   ,S0239                                                 ,34.176,0.064,1.0075
190,J0221.1+1958,RX J0221.1+1958   ,                                                      ,35.285,0.45,2.6087
191,J0223.4-0852,BVH2007 24        ,                                                      ,35.868,0.163,0.8132
192,J0225.1-2928,RXCJ0225.1-2928   ,                                                      ,36.294,0.0604,1.1207
195,J0228.1+2811,RXC J0228.1+2811  ,RXJ0228.2+2811                                        ,37.04,0.0353,0.6596
196,J0228.2-1005,BVH2007 25        ,VMF98 26                                              ,37.056,0.149,0.7165
197,J0228.3+2325,BVH2007 26        ,                                                      ,37.094,0.305,1.6671
199,J0230.4+1836,BVH2007 27        ,                                                      ,37.611,0.799,3.5043
200,J0230.7-3305,RXCJ0230.7-3305   ,A3027                                                 ,37.681,0.076,1.1414
202,J0231.9+0114,RXCJ0231.9+0114   ,RCS145                                                ,37.988,0.0221,0.2351
204,J0234.2-0356,WARP J0234.2-0356 ,                                                      ,38.555,0.447,1.1213
206,J0237.4-2630,RXCJ0237.4-2630   ,A0368                                                 ,39.372,0.2216,3.9543
