,MCXC,OName,AName,RAdeg,z,M500
457,J0707.0+2706,RXC J0707.0+2706  ,                                                      ,106.761,0.062,1.3771
458,J0708.1+7151,RXC J0708.1+7151  ,A0565                                                 ,107.032,0.1053,1.6204
460,J0711.7+3219,RXC J0711.7+3219  ,                                                      ,107.948,0.0672,1.9673
461,J0712.0-6030,RXCJ0712.0-6030   ,AM 0711                                               ,108.022,0.0322,0.4348
463,J0716.7+5324,RXC J0716.7+5324  ,Zw 0712.9+5834                                        ,109.178,0.0644,1.1043
464,J0717.1-3621,RXC J0717.1-3621  ,                                                      ,109.295,0.032,1.0838
465,J0717.4-1119,RXC J0717.4-1119  ,                                                      ,109.363,0.075,3.1457
468,J0720.2+7132,BVH2007 78        ,                                                      ,110.074,0.268,1.0413
469,J0720.3+2348,RXC J0720.2+2348  ,                                                      ,110.075,0.168,3.1513
470,J0720.8+7108,BVH2007 79        ,                                                      ,110.224,0.23,0.9941
472,J0724.9+6658,RXC J0724.9+6658  ,A0578                                                 ,111.23,0.0863,1.2147
473,J0726.0+4122,RXC J0726.0+4122  ,A0580                                                 ,111.502,0.112,2.0846
475,J0729.4+2436,RXC J0729.4+2436  ,                                                      ,112.37,0.161,3.6042
476,J0729.7+7915,RXC J0729.7+7915  ,A0575                                                 ,112.442,0.1058,1.2819
478,J0736.4+3925,RXC J0736.4+3925  ,                                                      ,114.106,0.1177,3.3105
479,J0737.6+5920,RXC J0737.6+5920  ,                                                      ,114.422,0.0384,0.3058
482,J0738.9+6956,MS0733.6+7003     ,A0588                                                 ,114.746,0.117,0.836
483,J0740.9+5525,RXC J0740.9+5525  ,UGC 03957                                             ,115.248,0.034,1.2902
484,J0741.5+2557,RXC J0741.5+2557  ,                                                      ,115.376,0.1577,1.4441
487,J0744.8+3927,MACSJ0744.9+3927  ,MCS  J0744.9+3927                                     ,116.219,0.697,6.94
489,J0746.6+3100,RXC J0746.6+3100  ,                                                      ,116.655,0.0579,0.6754
490,J0747.5-1917,RXC J0747.5-1917  ,PKS0745-19                                            ,116.885,0.1028,7.9855
491,J0748.1+1832,RXC J0748.1+1832  ,                                                      ,117.039,0.04,0.5199
492,J0751.3+5012,RXC J0751.3+5012  ,UGC 04052                                             ,117.844,0.0228,0.4197
493,J0751.4+1730,ZwCl1432          ,ZwCl1432                                              ,117.85,0.1894,3.8253
494,J0753.4+2921,A602              ,A0602                                                 ,118.351,0.0621,1.4236
495,J0756.9+3839,RXC J0756.9+3839  ,                                                      ,119.232,0.2203,2.5432
496,J0757.7-5315,RXC J0757.7-5315  ,S606                                                  ,119.444,0.039,1.1092
498,J0758.3+2640,RXC J0758.3+2640  ,                                                      ,119.589,0.2315,2.2599
499,J0759.7+5400,RXC J0759.7+5400  ,Zw 0755.8+5408                                        ,119.928,0.1032,2.0052
502,J0804.3+4646,RXC J0804.3+4646  ,A0616                                                 ,121.091,0.1868,2.2205
503,J0805.7+4541,RXC J0805.7+4541  ,A0620                                                 ,121.43,0.1353,1.7085
504,J0809.6+2811,BVH2007 80        ,                                                      ,122.421,0.399,3.3891
505,J0809.9-0258,RXC J0809.9-0258  ,                                                      ,122.482,0.27,5.682
506,J0810.4+4216,BVH2007 81        ,VMF98 47                                              ,122.601,0.064,1.0201
510,J0815.4-0308,RXC J0815.4-0308  ,3C 196.1                                              ,123.869,0.198,3.3605
511,J0815.9+6253,MS0811.6+6301     ,                                                      ,123.999,0.312,1.6401
512,J0816.5+7424,MS0810.5+7433     ,                                                      ,124.128,0.282,1.5644
514,J0818.2+0122,RXC J0818.2+0122  ,                                                      ,124.557,0.0879,1.7924
515,J0818.9+5654,RX J0818.9+5654   ,VMF98 48                                              ,124.741,0.26,0.8135
516,J0819.3+7054,RX J0819.3+7054   ,VMF98 49                                              ,124.844,0.226,0.6868
517,J0819.6+6336,RXJ0819.6+6336    ,RXJ0819.6+6336                                        ,124.913,0.119,2.3468
518,J0819.9+5634,BVH2007 82        ,VMF98 50                                              ,124.978,0.26,1.5505
519,J0820.4+5645,BVH2007 83        ,VMF98 51                                              ,125.111,0.0429,0.1534
521,J0821.0+0751,RXC J0821.0+0751  ,RXJ0820.9+0751                                        ,125.257,0.11,2.0211
523,J0822.1+4705,RXC J0822.1+4705  ,A0646                                                 ,125.54,0.1303,3.6508
524,J0823.1+0421,ZwCl1665          ,ZwCl1665                                              ,125.798,0.0293,0.7315
525,J0824.1+0327,MS0821.5+0337     ,                                                      ,126.045,0.347,1.0693
529,J0826.1+2625,RX J0826.1+2625   ,VMF98 52                                              ,126.527,0.351,1.1817
530,J0826.4-2721,RXC J0826.4-2721  ,S610                                                  ,126.615,0.041,1.3115
531,J0826.4+3125,RX J0826.4+3125   ,VMF98 53                                              ,126.624,0.209,0.672
536,J0837.4+1458,A689              ,A0689                                                 ,129.356,0.2793,10.0572
537,J0838.1+2506,BVH2007 NS 3      ,CGCG120-014                                           ,129.543,0.0286,0.3297
538,J0838.5+1948,BVH2007 84        ,                                                      ,129.63,0.123,0.9029
539,J0840.5+0543,RXC J0840.5+0543  ,                                                      ,130.13,0.2651,3.4434
540,J0841.1+6422,BVH2007 85        ,VMF98 56                                              ,130.281,0.343,2.0097
541,J0841.7+7046,RX J0841.7+7046   ,VMF98 57                                              ,130.431,0.235,0.6667
543,J0842.8+5023,RX J0842.8+5023   ,VMF98 58                                              ,130.72,0.423,1.038
545,J0842.9+2928,ZwCl1883          ,ZwCl1883                                              ,130.747,0.194,3.989
546,J0844.9+4258,RXC J0844.9+4258  ,                                                      ,131.236,0.0541,0.4696
547,J0847.1+3449,RX J0847.1+3449   ,VMF98 59                                              ,131.797,0.56,1.9683
549,J0848.7+4456,RX J0848.7+4456   ,VMF98 60                                              ,132.198,0.574,0.958
550,J0848.9+4452,RX J0848.9+4452   ,VMF98 61                                              ,132.235,1.261,1.3868
551,J0849.1+3731,BVH2007 86        ,"VMF98 62, A0708                                       ",132.298,0.24,0.9165
553,J0851.9+1159,WARP J0851.9+1159 ,                                                      ,132.991,0.115,0.3899
555,J0852.5+1618,BVH2007 87        ,VMF98 63                                              ,133.137,0.098,0.5581
556,J0853.2+5759,BVH2007 88        ,VMF98 64                                              ,133.306,0.475,2.2169
557,J0856.1+3756,RXC J0856.1+3756  ,                                                      ,134.036,0.4107,6.1886
558,J0858.4+1357,RX J0858.4+1357   ,VMF98 66                                              ,134.604,0.488,1.202
559,J0900.0+3920,BVH2007 89        ,                                                      ,135.02,0.0951,0.5176
560,J0900.6+2054,ZwCl2089          ,ZwCl2089                                              ,135.158,0.2347,5.2335
561,J0901.1+6239,RXC J0901.1+6239  ,A0725                                                 ,135.298,0.09,1.1485
562,J0906.4+1020,A743              ,A0743                                                 ,136.614,0.1328,2.2885
563,J0907.2+3330,RX J0907.2+3330   ,VMF98 67                                              ,136.825,0.483,0.9595
564,J0907.3+1639,RXC J0907.3+1639  ,A0744                                                 ,136.843,0.073,0.9754
565,J0907.8+4936,RXC J0907.8+4936  ,VV 196                                                ,136.962,0.0352,0.3965
568,J0910.2+6012,BVH2007 91        ,A0742                                                 ,137.567,0.181,0.6527
569,J0910.6-1034,RXCJ0910.6-1034   ,A0761                                                 ,137.651,0.0916,1.9936
570,J0910.6+4248,RX J0910.6+4248   ,VMF98 69                                              ,137.665,0.576,1.6177
572,J0912.4+1556,A763              ,A0763                                                 ,138.124,0.0851,2.2769
573,J0913.0+4742,RXC J0913.0+4742  ,A0757                                                 ,138.259,0.051,0.8739
574,J0916.1+1736,RXC J0916.1+1736  ,                                                      ,139.029,0.0292,0.3303
576,J0918.1-1205,RXCJ0918.1-1205   ,A0780                                                 ,139.527,0.0539,3.6243
577,J0919.8+3345,RXC J0919.8+3345  ,A0779                                                 ,139.955,0.023,0.2579
578,J0920.0+0102,RXC J0920.0+0102  ,MKW 1s                                                ,140.002,0.0175,0.1344
579,J0920.3+7350,RXC J0920.3+7350  ,A0765                                                 ,140.094,0.133,1.5416
581,J0921.1+4538,RXC J0921.1+4538  ,3C 219                                                ,140.286,0.1745,2.1881
582,J0921.2+4528,BVH2007 92        ,VMF98 70                                              ,140.305,0.315,1.648
583,J0923.1+2217,RXC J0923.1+2217  ,UGC 04991                                             ,140.783,0.0316,0.2684
585,J0926.6+1242,BVH2007 93        ,VMF98 71                                              ,141.652,0.489,2.0531
586,J0926.6+1741,RXC J0926.6+1741  ,A0797                                                 ,141.67,0.117,1.8733
587,J0927.1+5327,ZwCl2379          ,ZwCl2379                                              ,141.795,0.2052,3.6924
588,J0928.0+7446,RXC J0928.0+7446  ,A0786                                                 ,142.021,0.124,1.7372
590,J0928.6+3747,RXC J0928.6+3747  ,A0800                                                 ,142.157,0.2472,3.1464
591,J0933.4+3403,RXC J0933.4+3403  ,UGC 05088                                             ,143.354,0.0269,0.2056
592,J0935.4+0729,RXC J0935.4+0729  ,A0830                                                 ,143.87,0.261,3.1897
593,J0937.1+6116,WARP J0937.1+6116 ,ZWCL 0933.6+6127                                      ,144.276,0.204,0.54
594,J0937.9-2020,RXCJ0937.9-2020   ,S0617                                                 ,144.499,0.0344,0.49
595,J0938.2+7553,RXC J0938.2+7553  ,A0814                                                 ,144.567,0.1503,1.4196
596,J0941.0+3843,WARP J0941.0+3843 ,                                                      ,145.252,0.287,0.6885
598,J0942.2+1523,RXC J0942.2+1522  ,A0853                                                 ,145.561,0.1664,2.8846
599,J0942.3+8111,WARP J0942.3+8111 ,                                                      ,145.588,0.545,2.6505
600,J0943.1+4659,RXC J0943.1+4659  ,A0851                                                 ,145.779,0.4069,3.9698
601,J0943.4-7619,RXC J0943.4-7619  ,PKS 0943-76                                           ,145.854,0.199,4.5079
602,J0943.5+1640,BVH2007 94        ,VMF98 73                                              ,145.885,0.256,1.2867
603,J0943.7+1644,BVH2007 95        ,VMF98 74                                              ,145.938,0.18,0.8198
604,J0944.0+6424,RXC J0944.0+6424  ,A0845                                                 ,146.007,0.12,1.6389
605,J0944.1-2116,RXCJ0944.1-2116   ,                                                      ,146.043,0.0077,0.0725
606,J0944.6-2633,RXCJ0944.6-2633   ,                                                      ,146.152,0.1421,3.6917
608,J0946.5-1409,RX J0946.5-1410   ,                                                      ,146.637,0.23,0.5083
610,J0947.7+0741,RX J0947.7+0741   ,VMF98 75                                              ,146.941,0.625,2.2845
611,J0947.9+0730,RX J0947.9+0730   ,RX J0947.9+0730 (SSHARC)                              ,146.99,0.128,0.3038
612,J0948.6-8327,RXCJ0948.6-8327   ,                                                      ,147.164,0.1982,3.4323
614,J0950.1+7033,BVH2007 96        ,                                                      ,147.532,0.21,1.2477
615,J0951.7-0128,RX J0951.7-0128   ,VMF98 76                                              ,147.946,0.568,1.4614
617,J0953.2-1558,RXCJ0953.2-1558   ,                                                      ,148.301,0.0302,0.4177
618,J0953.6+7054,BVH2007 97        ,A0875                                                 ,148.4,0.185,2.0027
619,J0953.7+6947,BVH2007 98        ,                                                      ,148.436,0.214,0.8494
620,J0956.0+4107,BVH2007 99        ,VMF98 79                                              ,149.012,0.587,2.307
622,J0957.8+6534,RX J0957.8+6534   ,VMF98 80                                              ,149.472,0.53,1.6192
623,J0958.0-2650,MS0955.7-2635     ,                                                      ,149.507,0.145,1.9096
624,J0958.1+2346,RXC J0958.1+2346  ,                                                      ,149.543,0.1471,1.974
625,J0958.2+5516,BVH2007 100       ,"VMF98 81, A0899                                       ",149.554,0.214,1.6286
626,J0958.3+4702,BVH2007 101       ,                                                      ,149.58,0.39,2.2502
628,J0959.7+2223,RXC J0959.7+2223  ,A0908                                                 ,149.939,0.244,3.0604
629,J1000.5+4409,RXC J1000.5+4409  ,RXJ1000.5+4409                                        ,150.127,0.154,2.5495
630,J1002.1+6858,BVH2007 102       ,                                                      ,150.532,0.5,2.3024
631,J1002.6+3241,RXC J1002.6+3241  ,Zw 0959.6+3257                                        ,150.661,0.0499,0.944
632,J1002.6-0808,RX J1002.6-0808   ,VMF98 83                                              ,150.668,0.524,1.5235
633,J1003.0+3254,RXC J1003.0+3254  ,                                                      ,150.767,0.4161,4.2551
634,J1003.1-1925,BVH2007 104       ,                                                      ,150.777,0.243,1.3539
636,J1006.6+2554,RXC J1006.6+2554  ,A0923                                                 ,151.665,0.1162,2.106
637,J1006.8+1223,MS1004.2+1238     ,                                                      ,151.723,0.166,1.2028
638,J1007.1-2031,BVH2007 105       ,                                                      ,151.785,0.105,0.3427
639,J1007.8+0031,RXC J1007.8+0031  ,A0933                                                 ,151.954,0.096,1.0893
640,J1008.7+5342,WARP J1008.7+5342 ,                                                      ,152.199,0.872,2.0401
643,J1010.2+5430,BVH2007 106       ,VMF98 84                                              ,152.566,0.045,0.1548
644,J1010.2+5429,RXC J1010.2+5429  ,RIXOS F231-526                                        ,152.567,0.047,0.405
646,J1010.9+5557,WARP J1010.9+5557 ,A0935                                                 ,152.743,0.171,0.3491
647,J1011.0+5358,WARP J1011.0+5358 ,                                                      ,152.751,0.372,1.1079
648,J1011.0+5339,RX J1011.0+5339   ,VMF98 85                                              ,152.771,0.329,0.6786
649,J1011.3+5333,WARP J1011.3+5333 ,                                                      ,152.846,0.39,0.9237
650,J1011.4+5450,BVH2007 107       ,VMF98 86                                              ,152.856,0.294,1.374
651,J1013.4-0136,BVH2007 108       ,                                                      ,153.366,0.276,1.3867
653,J1013.6+4933,BVH2007 109       ,VMF98 87                                              ,153.404,0.133,0.8937
655,J1013.7-0006,RXCJ1013.7-0006   ,A0954                                                 ,153.437,0.0927,1.5413
656,J1015.1+4931,RX J1015.1+4931   ,VMF98 88                                              ,153.785,0.383,1.2769
658,J1016.6+2448,RXC J1016.6+2448  ,A0964                                                 ,154.15,0.0811,1.1353
662,J1018.0+2154,BVH2007 110       ,                                                      ,154.504,0.24,1.2055
663,J1019.6+3920,WARP J1019.6+3920 ,                                                      ,154.905,0.373,0.8982
665,J1020.2+3913,WARP J1020.2+3913 ,RX J1020.0+3915 (BSHARC2)                             ,155.066,0.1463,0.4088
666,J1020.4-0631,RXCJ1020.4-0631   ,A0978                                                 ,155.12,0.054,0.8481
667,J1020.5+3922,WARP J1020.5+3922 ,RX J1020.2+3926 (BSHARC2)                             ,155.127,0.143,0.3323
668,J1020.7+3831,BVH2007 NS 4      ,                                                      ,155.189,0.053,0.3232
669,J1020.9+5132,WARP J1020.9+5132 ,                                                      ,155.247,0.5019,1.16
670,J1022.0+3830,RXC J1022.0+3830  ,RXJ1022.1+3830                                        ,155.52,0.0491,0.7013
672,J1023.1+4124,WARP J1023.1+4124 ,                                                      ,155.775,0.232,0.6427
677,J1024.3+6804,BVH2007 NS 5      ,A0981                                                 ,156.08,0.201,1.6292
678,J1025.0+4750,RXC J1025.0+4750  ,A1003                                                 ,156.274,0.052,0.4213
679,J1025.9+1241,RXC J1025.9+1241  ,ZwCl3179                                              ,156.483,0.1434,3.4836
680,J1027.1+3908,BVH2007 111       ,                                                      ,156.795,0.338,2.5996
681,J1027.9-0647,RXCJ1027.9-0647   ,A1023                                                 ,156.999,0.1176,1.9936
682,J1028.3+0346,RXC J1028.3+0346  ,A1024                                                 ,157.088,0.073,0.9041
684,J1032.2+4015,RXC J1032.2+4015  ,A1035                                                 ,158.062,0.079,1.7119
685,J1033.8+5703,BVH2007 112       ,VMF98 89                                              ,158.466,0.0463,0.128
686,J1034.9+3041,RXC J1034.9+3041  ,A1045                                                 ,158.747,0.1407,2.8267
687,J1036.1+5713,BVH2007 113       ,VMF98 90                                              ,159.047,0.203,0.8825
688,J1036.6-2731,RXCJ1036.6-2731   ,A1060                                                 ,159.174,0.0126,0.9944
689,J1038.0+4146,BVH2007 114       ,A1056                                                 ,159.508,0.125,0.6214
691,J1039.4+0510,RXC J1039.4+0510  ,A1066                                                 ,159.866,0.07,1.5924
692,J1039.5+3947,BVH2007 115       ,                                                      ,159.88,0.0926,0.3522
695,J1040.7-7047,RXC J1040.7-7047  ,                                                      ,160.187,0.061,1.7603
696,J1041.5-1123,RXCJ1041.5-1123   ,                                                      ,160.392,0.0839,1.3071
697,J1042.4-0008,BVH2007 116       ,                                                      ,160.601,0.139,0.8101
699,J1047.5+1513,RXC J1047.5+1513  ,A1095                                                 ,161.885,0.2108,2.7446
700,J1048.0-1124,BVH2007 117       ,VMF98 91                                              ,162.003,0.065,0.224
701,J1048.7+2214,RXC J1048.7+2214  ,A1100                                                 ,162.19,0.045,0.4046
702,J1049.0+5424,RX J1049.0+5424   ,VMF98 92                                              ,162.261,0.251,0.7337
703,J1049.7+3308,WARP J1049.7+3308 ,                                                      ,162.437,0.23,0.6619
704,J1050.4-1250,RXCJ1050.4-1250   ,USGC S152                                             ,162.606,0.0155,0.4109
705,J1050.5-0236,RXCJ1050.5-0236   ,A1111                                                 ,162.648,0.1651,3.1422
706,J1050.6-2405,RXCJ1050.6-2405   ,                                                      ,162.651,0.2037,3.926
707,J1053.3+5720,RX J1053.3+5720   ,VMF98 93                                              ,163.327,0.34,0.4874
708,J1053.7+5452,RXC J1053.7+5452  ,RXJ1053.7+5450                                        ,163.433,0.0704,1.1937
709,J1053.7+4929,MS1050.7+4946     ,                                                      ,163.434,0.14,2.5785
710,J1053.8+1650,RXC J1053.8+1650  ,A1126                                                 ,163.451,0.0852,1.5577
711,J1056.2+4933,RX J1056.2+4933   ,VMF98 94                                              ,164.053,0.199,0.6924
712,J1056.9-0337,MS1054.4-0321     ,                                                      ,164.248,0.8309,3.3929
713,J1057.7+3738,RXC J1057.7+3738  ,                                                      ,164.432,0.0353,0.261
714,J1058.1+0135,RXCJ1058.1+0135   ,A1139                                                 ,164.543,0.0398,0.4388
715,J1058.2+0136,BVH2007 118       ,"VMF98 95, A1139                                       ",164.553,0.0385,0.3823
717,J1058.8+6223,WARP J1058.8+6223 ,                                                      ,164.71,0.37,1.1097
718,J1059.9+6421,WARP J1059.9+6421 ,ZWCL 1056.5+6437                                      ,164.997,0.192,0.5526
719,J1100.8+1033,RXC J1100.8+1033  ,A1142                                                 ,165.204,0.0353,0.6129
721,J1103.6+3555,WARP J1103.6+3555 ,                                                      ,165.905,0.775,1.8473
722,J1104.4+3600,WARP J1104.4+3600 ,                                                      ,166.125,0.497,1.2487
723,J1107.3-2300,RXCJ1107.3-2300   ,S0651                                                 ,166.829,0.0639,1.153
724,J1109.3+4133,RXC J1109.3+4133  ,A1173                                                 ,167.328,0.0763,1.455
725,J1109.7+2145,RXC J1109.7+2145  ,A1177                                                 ,167.429,0.0319,0.4615
726,J1110.0-2957,BVH2007 119       ,                                                      ,167.519,0.2,0.8158
727,J1110.7+2842,A1185             ,A1185                                                 ,167.695,0.0314,0.5978
730,J1113.0-2615,WARP J1113.0-2615 ,                                                      ,168.274,0.725,1.8657
733,J1113.8+4017,RX J1113.8+4017   ,A1203                                                 ,168.452,0.0795,0.5633
735,J1114.3+5823,RXC J1114.3+5823  ,Zw 1111.0+5843                                        ,168.599,0.2065,3.7085
736,J1115.5+5426,RXC J1115.5+5426  ,                                                      ,168.887,0.0691,1.0484
738,J1116.0+2441,RXC J1116.0+2441  ,                                                      ,169.014,0.1021,1.2838
739,J1116.9+1803,BVH2007 120       ,NGC3607                                               ,169.228,0.0032,0.0118
740,J1117.2+1744,RX J1117.2+1744   ,VMF98 96                                              ,169.3,0.305,1.068
741,J1117.4+0743,RX J1117.4+0743   ,VMF98 97                                              ,169.359,0.477,1.1452
742,J1117.5+1744,BVH2007 121       ,VMF98 98                                              ,169.375,0.547,2.0778
743,J1117.5+0746,WARP J1117.5+0746 ,RX J111730.1+074618 (RIXOS)                           ,169.375,0.155,0.4062
744,J1119.4+2106,WARP J1119.4+2106 ,"RX J111927.0+210651 (RIXOS), RX J1119.4+2106 (BSHARC2)",169.864,0.174,0.5223
745,J1119.7+2126,RX J1119.7+2126   ,VMF98 99                                              ,169.931,0.061,0.1062
746,J1120.1+4318,BVH2007 122       ,RX J1120.1+4318 (BSHARC)                              ,170.032,0.6,3.3968
747,J1120.9+2326,BVH2007 123       ,VMF98 100                                             ,170.243,0.562,2.6529
748,J1121.5+4803,RXC J1121.5+4803  ,A1227                                                 ,170.398,0.112,1.7522
750,J1122.2+6712,RXC J1122.2+6712  ,                                                      ,170.56,0.056,0.4388
751,J1122.3+2419,RXC J1122.3+2419  ,HCG 51                                                ,170.585,0.0258,0.251
752,J1122.8+0106,RXC J1122.8+0106  ,A1238                                                 ,170.707,0.072,0.869
753,J1122.8+3407,RXC J1122.8+3407  ,UGC 06394                                             ,170.708,0.043,0.3886
754,J1123.1+1409,BVH2007 124       ,VMF98 101                                             ,170.794,0.34,1.5148
757,J1124.0-1700,RX J1124.0-1700   ,VMF98 102                                             ,171.016,0.407,1.3673
758,J1124.6+4155,BVH2007 125       ,VMF98 103                                             ,171.152,0.195,1.3125
759,J1124.7+3859,WARP J1124.7+3859 ,                                                      ,171.196,0.3014,0.816
760,J1125.3+3854,WARP J1125.3+3854 ,                                                      ,171.346,0.5477,1.2653
761,J1126.9+1706,RXC J1126.9+1706  ,A1264                                                 ,171.748,0.127,2.419
762,J1127.7+4309,BVH2007 126       ,MS 1125.3+4324                                        ,171.939,0.344,1.5399
763,J1128.0+7529,RXC J1128.0+7529  ,A1255                                                 ,172.005,0.165,2.1865
764,J1128.9+4252,BVH2007 127       ,                                                      ,172.226,0.411,1.7586
766,J1130.0+3637,RXC J1130.0+3637  ,A1275                                                 ,172.507,0.06,0.8069
767,J1130.0+2028,RXC J1130.0+2028  ,A1278                                                 ,172.52,0.129,2.454
769,J1130.3-1434,RXCJ1130.3-1434   ,A1285                                                 ,172.581,0.1068,3.4062
770,J1131.3+3334,RXC J1131.3+3334  ,A1290                                                 ,172.843,0.2212,3.1308
772,J1132.3+5558,RXC J1132.3+5558  ,A1291                                                 ,173.082,0.0527,0.9561
775,J1133.9+7506,RXC J1133.9+7506  ,A1301                                                 ,173.488,0.122,1.4512
776,J1134.2+5952,WARP J1134.2+5952 ,ZWCL 1131.2+6009                                      ,173.559,0.29,0.835
777,J1134.8+4903,RXC J1134.8+4903  ,A1314                                                 ,173.71,0.0341,0.4608
778,J1135.2-1331,RXCJ1135.2-1331   ,A1317                                                 ,173.822,0.0722,1.2622
779,J1135.9+2131,BVH2007 128       ,VMF98 104                                             ,173.977,0.133,0.5182
780,J1138.7+0315,BVH2007 129       ,VMF98 105                                             ,174.68,0.127,0.4596
781,J1139.4-3327,RXCJ1139.4-3327   ,                                                      ,174.864,0.1076,2.142
782,J1140.3+6608,MS1137.5+6625     ,                                                      ,175.099,0.7843,2.2159
783,J1141.2+1044,RXC J1141.2+1044  ,A1345                                                 ,175.306,0.109,1.3779
785,J1142.0+2145,BVH2007 130       ,VMF98 106                                             ,175.519,0.131,0.895
786,J1142.1+1008,BVH2007 131       ,A1354                                                 ,175.526,0.119,0.8099
787,J1142.2+1027,BVH2007 132       ,"A1356, BS RXJ1142.2+1026                              ",175.569,0.117,0.6392
789,J1142.6+1028,WARP J1142.6+1028 ,                                                      ,175.664,0.188,0.4192
790,J1143.5+4623,RXC J1143.5+4623  ,A1361                                                 ,175.876,0.1167,3.5238
792,J1144.6+6724,RXC J1144.6+6724  ,A1366                                                 ,176.168,0.1159,2.4747
794,J1145.3+1529,RXC J1145.3+1529  ,A1371                                                 ,176.344,0.067,1.0933
796,J1146.4+2854,BVH2007 133       ,VMF98 107                                             ,176.612,0.149,0.9477
797,J1147.3+5544,RXC J1147.3+5544  ,A1377                                                 ,176.836,0.051,0.7138
801,J1149.8+1046,MS1147.3+1103     ,                                                      ,177.469,0.303,1.9951
802,J1151.6-1619,RXCJ1151.6-1619   ,                                                      ,177.909,0.0722,1.5451
803,J1151.6+8104,RX J1151.6+8104   ,VMF98 108                                             ,177.918,0.29,0.5185
804,J1152.5+3732,BVH2007 134       ,                                                      ,178.149,0.23,1.4603
807,J1156.7+4238,MS1154.1+4255     ,                                                      ,179.194,0.174,1.4338
808,J1156.9+2415,RXC J1156.9+2415  ,ZwCl4673                                              ,179.241,0.1392,2.3746
810,J1157.4+0503,RXC J1157.4+0503  ,A1424                                                 ,179.37,0.077,1.3263
811,J1158.1+5521,RX J1158.1+5521   ,VMF98 109                                             ,179.549,0.135,0.2437
813,J1159.8+5531,BVH2007 135       ,"VMF98 110, MS1157.3+5548                              ",179.963,0.0808,0.67
814,J1200.0+1124,RXC J1200.0+1122  ,                                                      ,180.01,0.207,1.9944
816,J1200.1+6809,BVH2007 136       ,                                                      ,180.032,0.265,1.754
819,J1200.8-0327,BVH2007 137       ,VMF98 111                                             ,180.206,0.396,1.7854
820,J1201.0-4623,RXC J1201.0-4623  ,                                                      ,180.264,0.118,2.135
821,J1201.0+1209,BVH2007 138       ,                                                      ,180.27,0.304,2.365
824,J1202.2+5751,BVH2007 139       ,                                                      ,180.557,0.677,2.4828
826,J1203.0+2836,RXC J1203.0+2836  ,A1449                                                 ,180.762,0.1341,1.9879
828,J1204.0+2807,RXC J1204.0+2807  ,A1455                                                 ,181.013,0.1631,1.7549
829,J1204.1+2020,RXC J1204.1+2020  ,NGC 4066                                              ,181.048,0.0252,0.3186
830,J1204.3-0350,RX J1204.3-0350   ,VMF98 113                                             ,181.095,0.261,0.748
831,J1204.4+0154,RXCJ1204.4+0154   ,MKW4                                                  ,181.105,0.0199,0.6772
832,J1204.9+2237,RXC J1204.9+2237  ,A1466                                                 ,181.24,0.2519,1.8572
833,J1205.0-0332,RX J1205.0-0333   ,BSe RXJ1205.0-0332                                    ,181.262,0.368,0.6514
834,J1205.2+3920,RXC J1205.2+3920  ,RXJ1205.1+3920                                        ,181.302,0.0381,1.0322
835,J1205.5+4419,WARP J1205.5+4419 ,                                                      ,181.387,0.3384,0.8378
836,J1205.8+4429,WARP J1205.8+4429 ,RX J1205.8+4429 (BSHARC2)                             ,181.466,0.5921,1.6324
837,J1206.1+4419,WARP J1206.1+4419 ,                                                      ,181.528,0.2946,0.7038
839,J1206.4+2215,RXC J1206.4+2215  ,PGC 038401                                            ,181.617,0.0656,0.6237
840,J1206.5-0744,BVH2007 140       ,VMF98 114                                             ,181.64,0.068,0.7588
841,J1206.6+2811,RXC J1206.6+2811  ,NGC 4104                                              ,181.656,0.0283,0.4179
843,J1208.3-2937,MS1205.7-2921     ,                                                      ,182.075,0.171,1.2452
844,J1210.3+0523,RXC J1210.3+0523  ,ZwCl4905                                              ,182.578,0.0748,1.616
845,J1210.7-4644,RXC J1210.7-4644  ,S0689                                                 ,182.684,0.032,0.7549
846,J1211.0+3519,RXC J1211.0+3519  ,A1483                                                 ,182.758,0.138,1.8147
847,J1211.2+3911,BVH2007 141       ,"VMF98 115, MS1208.7+3928                              ",182.817,0.34,2.0973
848,J1212.3-1816,RXCJ1212.3-1816   ,                                                      ,183.079,0.269,4.8327
850,J1212.9+2727,BVH2007 143       ,A1489                                                 ,183.246,0.179,1.776
851,J1213.5+0253,BVH2007 144       ,VMF98 116                                             ,183.393,0.409,1.5931
853,J1216.3+2633,BVH2007 145       ,VMF98 117                                             ,184.083,0.428,1.7304
854,J1217.2+6940,WARP J1217.2+6940 ,                                                      ,184.311,0.107,0.2542
855,J1217.6+0339,RXC J1217.6+0339  ,Zw 1215.1+0400                                        ,184.419,0.0766,3.5915
856,J1217.7+4729,BVH2007 146       ,                                                      ,184.432,0.27,2.4049
857,J1217.8+2255,BVH2007 147       ,                                                      ,184.452,0.14,0.7524
859,J1218.4+3011,RX J1218.4+3011   ,VMF98 118                                             ,184.621,0.368,0.8091
860,J1219.3-1315,RXCJ1219.3-1315   ,A1520                                                 ,184.832,0.0688,1.8728
861,J1220.2+7522,BVH2007 148       ,NGC4291                                               ,185.072,0.0059,0.0321
862,J1220.9+1810,WARP J1220.9+1810 ,                                                      ,185.232,0.4294,1.518
863,J1221.4+4918,BVH2007 149       ,VMF98 119                                             ,185.354,0.7,3.0916
