,NAME,RA,DEC,LAMBDA,Z_SPEC,dist
35,RMJ225633.5+052552.0,344.13975116162993,5.4311206619249175,22.673105,-1.0,2.896467182540116
36,RMJ143026.4+243711.3,217.60998832428777,24.619803823594072,78.32325,0.13557237,1.0306179575137673
37,RMJ092229.1+545947.3,140.62124137239124,54.996458978834454,84.82187,0.18362965,1.6918094435209914
38,RMJ094257.5+465849.8,145.7394109232552,46.98049972924036,131.15123,-1.0,0.03217974207722928
39,RMJ221639.7+261142.1,334.1654355149437,26.195027689740673,127.8409,-1.0,6.377862874640125
40,RMJ000343.8+100123.8,0.9324948495495278,10.023269846272969,131.42581,0.3743051,1.7059225532650997
41,RMJ133649.4+102624.1,204.20577641853038,10.440019004466865,82.68617,0.1551845,1.4791715001686734
42,RMJ092121.1+031713.2,140.3379643256792,3.287009044317011,120.27443,0.3512842,2.271947689489826
43,RMJ231122.4+051657.8,347.84338236482716,5.282714716932483,153.82011,-1.0,4.051537769558859
44,RMJ002635.7+170943.1,6.648616031470681,17.16196944261077,137.11592,-1.0,2.711388979727146
45,RMJ222826.8+203852.4,337.1114998738553,20.647893874626618,121.12871,0.40751082,6.871710148941466
46,RMJ003818.1+092747.5,9.575498003419852,9.463182441093377,103.58549,-1.0,2.8910242942587576
47,RMJ101113.0-020235.5,152.80422265706412,-2.0432048010435935,89.12377,-1.0,0.7079610670812725
48,RMJ012243.6+130059.4,20.68159167234097,13.016497434228624,91.13743,-1.0,3.2188644520923373
49,RMJ091958.6+303148.9,139.99398977655108,30.5302610773038,26.0292,-1.0,3.2299075405974826
50,RMJ123917.2+184601.9,189.8218694006651,18.76719144318734,108.5281,0.3225581,2.1858145801040405
51,RMJ163349.5+243253.0,248.45633642499385,24.548048982620102,88.65087,-1.0,0.8149312128400464
52,RMJ132722.9+033745.1,201.84549713948246,3.629195635850618,96.20208,0.22466692,3.413992693818479
53,RMJ145213.1+375251.9,223.05448193839214,37.881090670959146,101.9227,-1.0,4.588116734323176
54,RMJ021953.5+024707.1,34.97286236437526,2.785293187416784,110.831604,-1.0,3.384045747103258
55,RMJ082319.3+155745.8,125.83033267095192,15.96272470961174,82.07597,0.15255272,3.5362248693022216
56,RMJ113804.2+275838.3,174.51760157453668,27.97729818308859,116.567474,0.44741425,2.06202936168472
57,RMJ084617.5+050803.8,131.5727437563899,5.134378654131286,94.98168,0.2365112,1.5560116124668177
58,RMJ121756.8+204016.9,184.48662777963824,20.671367522784987,89.71872,0.20075789,2.249862185505531
59,RMJ115235.4+371543.1,178.1474322996246,37.261975629234314,84.85238,0.16440418,0.2840271009012982
60,RMJ010032.8+044900.5,15.136647164563158,4.81679274260843,115.25555,0.341505,3.0038949653242537
61,RMJ002224.7+231733.0,5.602896632471584,23.292492579949798,81.130165,-1.0,3.533779062422051
62,RMJ003321.6+102725.7,8.339866462991097,10.457140859821097,142.47041,0.4367538,2.954752437267312
63,RMJ140746.5+140011.9,211.94373261424636,14.003305890560632,67.1261,-1.0,7.0279260884060495
64,RMJ170233.1+333059.9,255.638089411169,33.51664588943462,72.43483,0.08637558,0.005594441281695178
65,RMJ100835.7+171443.8,152.14878614834615,17.245503750170737,61.252937,-1.0,4.869918262223528
66,RMJ113811.0+275534.6,174.5459893141711,27.92628757548525,41.2079,-1.0,2.063850861768796
67,RMJ172446.8+320234.9,261.194947638601,32.04302165573092,85.935486,-1.0,1.4439487625183958
68,RMJ130400.9+673023.9,196.00366462936557,67.5066435660826,90.05433,0.2212388,2.0906659495393525
69,RMJ225946.5+310223.9,344.94378670174945,31.03996403197944,75.485825,-1.0,1.6010070739859719
70,RMJ004155.0+212237.4,10.479346042076088,21.377058662332992,60.62748,-1.0,0.04825597549653855
71,RMJ145058.7+311742.0,222.74462613880266,31.29499444192225,75.28751,0.16570234,5.754385116101275
72,RMJ222842.7+083924.4,337.17778435319144,8.656782036448227,181.12653,-1.0,6.036705724101457
73,RMJ122714.9+085815.1,186.81223952352872,8.970866311440941,66.56167,0.087766536,0.003202687770277764
74,RMJ224712.3-020537.8,341.80120846766516,-2.0938306020866615,119.20658,-1.0,4.08661714083266
75,RMJ082605.8+401731.1,126.52400684841086,40.291977921564815,137.72612,0.40219858,3.5506356795408465
76,RMJ232040.8+115603.9,350.17010932381305,11.934428808776895,112.60118,-1.0,0.5713807283800607
