,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
106,PSZ2 G030.27-16.94,296.9130194,-9.9282125,-1.0,0.0,            ,                    
107,PSZ2 G030.70+09.44,273.4416566,2.3314015,-1.0,0.0,            ,                    
108,PSZ2 G030.90+34.37,250.8441049,13.3853348,0.1819,3.713527,            ,RMJ164325.4+132235.9
109,PSZ2 G031.37-71.95,352.6812052,-26.171286,-1.0,0.0,            ,                    
110,PSZ2 G031.41-19.16,299.4189763,-9.8989724,-1.0,0.0,            ,                    
111,PSZ2 G031.93+78.71,205.4709303,26.3684406,0.0724,2.718318,J1341.8+2622,RMJ134149.1+262224.5
112,PSZ2 G032.12-14.96,295.8916172,-7.4624139,-1.0,0.0,            ,                    
113,PSZ2 G032.13-44.36,323.6921253,-19.1306933,-1.0,0.0,            ,                    
114,PSZ2 G032.31+66.07,219.2979138,24.3892375,-1.0,0.0,            ,                    
115,PSZ2 G032.77+19.69,265.1224844,8.7112379,-1.0,0.0,            ,                    
116,PSZ2 G033.27-17.54,298.7166445,-7.6030832,-1.0,0.0,            ,                    
117,PSZ2 G033.46-48.43,328.0814429,-19.6129192,0.0943,4.076925,J2152.4-1933,                    
118,PSZ2 G033.81+77.18,207.2220525,26.5945953,0.0622,4.465213,J1348.8+2635,RMJ134853.3+263613.4
119,PSZ2 G033.83-46.57,326.315212,-18.7555147,-1.0,0.0,            ,                    
120,PSZ2 G033.97-76.61,357.9273591,-26.0953029,0.2264,7.557539,J2351.6-2605,                    
121,PSZ2 G034.38+51.57,234.8593032,21.7896687,0.0411,1.928021,J1539.6+2147,RMJ153956.8+214927.2
122,PSZ2 G034.78+31.71,254.6902504,15.3198423,0.48,6.264102,            ,                    
123,PSZ2 G035.89-61.39,341.7593232,-22.2282481,-1.0,0.0,            ,                    
124,PSZ2 G036.09-17.43,299.8263339,-5.1483475,-1.0,0.0,            ,                    
125,PSZ2 G036.36+16.01,269.9844534,10.1964111,-1.0,0.0,            ,                    
126,PSZ2 G036.69-15.67,298.5192033,-3.839686,-1.0,0.0,            ,                    
127,PSZ2 G036.73+14.93,271.1293648,10.055297,0.1525,5.288359,J1804.4+1002,                    
128,PSZ2 G036.77-16.51,299.298929,-4.1504137,-1.0,0.0,            ,                    
129,PSZ2 G036.80-14.95,297.9201625,-3.4116349,-1.0,0.0,            ,                    
130,PSZ2 G037.05-70.55,351.5252236,-24.1206541,0.088,2.216287,J2326.2-2406,                    
131,PSZ2 G037.25-16.27,299.298332,-3.6387063,-1.0,0.0,            ,                    
132,PSZ2 G037.31-21.54,304.0323134,-5.9840183,-1.0,0.0,            ,                    
