,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
7102,7102,RMJ232150.9+100917.5,350.46216568911194,10.154870961401683,58.110413,-1.0
7107,7107,RMJ005711.5-094017.9,14.297788202319976,-9.67163342610209,58.308723,0.48219797
7123,7123,RMJ125042.7+264713.0,192.67773041314217,26.78695141820861,59.81896999999999,-1.0
7134,7134,RMJ224431.6+093612.7,341.13155554646363,9.60353820886269,73.45692,-1.0
7136,7136,RMJ002700.1-041323.7,6.750354974858839,-4.22323860293189,75.455315,-1.0
7150,7150,RMJ133227.4+155525.7,203.11415077082734,15.923799104494956,53.1678,0.43885285
7153,7153,RMJ142834.8+521306.6,217.14502839255047,52.21850487368142,56.295067,-1.0
7155,7155,RMJ105218.1+444359.0,163.0753396916252,44.733049023944226,59.78846,0.43686306
7157,7157,RMJ135545.4+281037.5,208.93920728522903,28.177090513519182,78.94870999999999,-1.0
7167,7167,RMJ231838.2+094041.8,349.65935568135285,9.678281434818569,50.910065,-1.0
7168,7168,RMJ080635.7+492547.8,121.64891873567508,49.429952214501505,54.67804,0.42749983
7171,7171,RMJ025842.2-035035.1,44.67582998128272,-3.8430880019609983,62.213997,-1.0
7172,7172,RMJ074828.8+223757.7,117.12002146251936,22.63268881860923,50.528687,0.40386009999999994
7173,7173,RMJ143034.9+151727.3,217.64525080489028,15.29090751841277,70.5127,-1.0
7174,7174,RMJ094122.2+184750.2,145.3424407819994,18.797276984420364,52.435562,0.47210383
7180,7180,RMJ091517.9-005914.4,138.82475898113609,-0.987321904153617,50.894806,-1.0
7185,7185,RMJ002901.6+230912.7,7.256593216232204,23.15353124858698,74.524765,-1.0
7186,7186,RMJ143231.0+090045.2,218.12906769697375,9.012555268113356,71.33646999999999,0.49218944
7188,7188,RMJ125928.1+612722.1,194.86689676882168,61.45614524490716,64.44122,-1.0
7191,7191,RMJ143705.0+072240.0,219.27090682642606,7.377772451627398,50.803276000000004,0.4396208
7196,7196,RMJ014655.0+192116.6,26.728988549562306,19.354607338343133,57.637505000000004,0.42314437
7197,7197,RMJ235212.9-021147.3,358.053783371667,-2.1964681039109832,51.596534999999996,-1.0
7198,7198,RMJ154733.7+173724.9,236.8906180930367,17.623580214710568,59.68167,0.48332065
7205,7205,RMJ131304.9+475428.6,198.270367008542,47.90793855483119,60.246109999999994,-1.0
7208,7208,RMJ170131.3+285416.8,255.3803129872179,28.90465542141311,51.962654,-1.0
7212,7212,RMJ221159.7+113508.3,332.9986918241642,11.585629182744222,56.203537,-1.0
7213,7213,RMJ110737.9+040249.7,166.90811169710204,4.0471440326565675,60.3834,0.46883824
7218,7218,RMJ022357.5-043510.1,35.989658209657705,-4.586146468428759,64.5175,0.49588642
7222,7222,RMJ001308.2-110213.8,3.284170594284575,-11.037155799331154,79.97079000000001,-1.0
7225,7225,RMJ225725.8+324219.5,344.3575813946266,32.70541716877662,61.268190000000004,-1.0
7228,7228,RMJ233930.4+205617.1,354.8767201074711,20.93808377716182,53.65596,-1.0
7232,7232,RMJ001834.5-073728.3,4.643607733357669,-7.624525953155638,73.74676,-1.0
7237,7237,RMJ130028.9+410705.6,195.1202120023912,41.11822684978714,73.38064,0.5038795
7242,7242,RMJ110930.4-020312.3,167.37669296246162,-2.0534304131457097,74.46374499999999,0.5035476
7243,7243,RMJ221328.3+071009.2,333.36790079791206,7.169227009884093,54.81534,0.42784265
7252,7252,RMJ010314.1+042012.3,15.808733464280975,4.336746626817379,66.05825,0.50552666
7253,7253,RMJ221331.8+024405.9,333.3826258903235,2.7349680968789305,64.50224,0.4286057
7255,7255,RMJ115542.1-023640.8,178.92543572061192,-2.6113200740222657,56.72220600000001,0.4549736
7264,7264,RMJ120015.1+293911.1,180.06274179559188,29.65309539289048,80.489456,0.5186284999999999
7269,7269,RMJ012230.0-084627.9,20.62481601640762,-8.774413839600061,79.31483,-1.0
7271,7271,RMJ122656.8+052046.0,186.73662344336918,5.3461113066996795,53.19831,-1.0
7277,7277,RMJ230429.3+333757.3,346.12217790836013,33.63259523660745,79.90977,-1.0
7278,7278,RMJ001427.2+210240.1,3.613343280237757,21.044478997203306,125.72046,-1.0
7286,7286,RMJ111715.2+551938.4,169.31341717679646,55.3273254391589,56.462875,0.4597517
7294,7294,RMJ130149.0+263702.9,195.45430617382544,26.61747340708379,58.949431999999995,0.4585809
7295,7295,RMJ124850.2+055642.8,192.20919723367157,5.9452164907057075,60.35289,0.42728640000000007
7296,7296,RMJ140307.6+034629.5,210.7817127646277,3.774852077115858,60.55121,0.46592432
7297,7297,RMJ234049.7-032640.6,355.2071241104357,-3.4446014661651936,55.913695999999995,0.45072415
7298,7298,RMJ121628.6+462801.5,184.11924133645678,46.46708724570472,64.2124,-1.0
7304,7304,RMJ102756.5-024539.2,156.98550997102683,-2.7609008730893487,50.345627,-1.0
7308,7308,RMJ015021.4+083851.7,27.58924924732452,8.647701119013826,68.773636,-1.0
7311,7311,RMJ014719.7+114125.5,26.832110463977127,11.690430442988696,73.97558599999999,0.5054876
7315,7315,RMJ074355.6+213340.0,115.98149892538471,21.561097313959745,66.89728000000001,0.4651907
7327,7327,RMJ144547.7+474451.6,221.44873778079196,47.747668601928645,66.63794,0.48015420000000003
7349,7349,RMJ102630.1-003553.6,156.62555392125557,-0.5982244150525869,58.507042000000006,0.42955366
7352,7352,RMJ212632.5-002924.8,321.6352664122227,-0.4902140195296138,67.24814,0.52673525
7363,7363,RMJ095908.3+321444.8,149.7844586508419,32.245768542414865,86.118546,-1.0
7382,7382,RMJ160022.4+110853.0,240.09340227109033,11.148053023278418,57.75954399999999,0.47866747
7383,7383,RMJ004411.1-070940.9,11.046068170278433,-7.161364165303763,53.274581999999995,-1.0
7390,7390,RMJ144042.4+481102.7,220.1765167175936,48.184074254723136,83.75402,0.52742565
7394,7394,RMJ140348.7+101442.6,210.9531239254193,10.245180050401153,71.06188,-1.0
7396,7396,RMJ230949.3+104205.0,347.455622077469,10.70139965919754,55.761146999999994,-1.0
7399,7399,RMJ093508.0+255115.0,143.7834862524021,25.854168265982644,57.347664,-1.0
7402,7402,RMJ074316.8+223149.6,115.81997573563518,22.53043675579871,57.500214,0.40502003
7406,7406,RMJ212505.8+054336.4,321.2740580322204,5.7267856914158575,84.22693000000001,-1.0
7417,7417,RMJ124615.2+184856.2,191.56326522835025,18.815604147105613,52.221992,0.47295538
7420,7420,RMJ105612.9+434354.0,164.0539490748159,43.73166425912942,71.428,0.48566833
7423,7423,RMJ225209.7-041307.3,343.0402347545272,-4.218702177661359,53.533919999999995,-1.0
7425,7425,RMJ012823.6+144113.6,22.09837441926697,14.687111599288304,70.92459000000001,0.46500453
7437,7437,RMJ015247.8+253244.8,28.199156867193608,25.545789962131785,73.2586,0.3905848
7438,7438,RMJ011526.2+300240.5,18.859120949027385,30.04459244557351,78.73514,-1.0
7443,7443,RMJ111719.9-023105.5,169.3327986563052,-2.5181897350531592,58.36974300000001,0.44430068
7444,7444,RMJ122605.2+025547.3,186.5218406251684,2.929802780398945,51.062614,0.44696745
