,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
801,PSZ2 G167.66-65.59,29.9775538,-8.8588899,0.405,7.204626,J0159.8-0850,RMJ015949.3-084958.9
802,PSZ2 G167.67+17.63,99.5265101,47.7826628,0.174,6.652367,J0638.1+4747,                    
803,PSZ2 G167.98-59.95,33.6842156,-4.5856181,0.1393,4.306384,J0214.6-0433,RMJ021441.1-043402.5
804,PSZ2 G168.33+69.73,174.0505436,40.1032116,0.288,4.792877,            ,RMJ113613.0+400235.8
805,PSZ2 G169.62+33.84,124.1776035,49.5502232,0.3466,5.915491,            ,RMJ081646.0+493258.8
806,PSZ2 G170.22+09.74,90.8394434,42.2322902,0.228,10.759314,            ,                    
807,PSZ2 G170.26+73.90,178.0167307,37.2536571,0.1648,3.123689,            ,                    
808,PSZ2 G170.98+39.45,132.7602068,48.510419,0.537638,8.076048,            ,RMJ085058.7+483002.6
813,PSZ2 G171.98-40.66,48.2465023,8.3562869,0.27,10.710258,            ,                    
814,PSZ2 G172.63+35.15,126.3698537,47.1532436,0.1267,3.901607,J0825.5+4707,RMJ082529.1+470800.9
815,PSZ2 G172.74+65.30,167.9028845,40.8573534,0.0794,2.453959,J1111.6+4050,RMJ111143.6+404914.7
816,PSZ2 G172.93+21.34,106.9429565,44.3317616,0.331,6.121144,            ,                    
817,PSZ2 G172.98-53.55,39.9650513,-1.568082,0.373,7.645354,            ,RMJ023952.7-013418.9
820,PSZ2 G173.90-51.89,41.5114915,-0.7433555,0.179363,3.739316,            ,                    
821,PSZ2 G174.40-57.33,37.9300741,-4.8611522,0.1843,3.961237,J0231.7-0451,RMJ023141.2-045257.4
822,PSZ2 G174.96+23.37,110.3820433,43.1180931,0.1592,3.435465,            ,                    
823,PSZ2 G175.60+35.47,127.0827927,44.7548964,0.145,3.075884,J0828.0+4445,RMJ082805.9+444600.3
824,PSZ2 G175.69-85.98,16.375976,-24.6548418,0.23,5.672555,J0105.5-2439,                    
825,PSZ2 G175.89+24.24,111.8374835,42.5296611,0.1865,3.544395,            ,                    
827,PSZ2 G176.25-52.57,42.0559802,-2.2374019,0.236,6.065901,J0248.2-0216,RMJ024808.3-021637.2
828,PSZ2 G176.27+37.54,130.0378194,44.3617524,0.566894,6.143406,            ,RMJ084000.2+442313.3
829,PSZ2 G176.27-35.04,54.6847579,9.9712357,0.0347,2.269227,J0338.6+0958,                    
831,PSZ2 G178.00+42.32,136.6840298,43.1361199,0.2368,3.973574,            ,                    
832,PSZ2 G178.94+56.00,154.9481106,41.0097985,0.0922,2.231196,J1019.9+4059,RMJ101945.7+405938.9
