,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
420,PSZ2 G092.69+59.92,216.6347112,51.2520897,-1.0,0.0,            ,                    
422,PSZ2 G093.04-32.38,345.4275891,24.0402516,-1.0,0.0,            ,                    
423,PSZ2 G093.41-16.26,335.9786463,38.0070356,-1.0,0.0,            ,                    
425,PSZ2 G093.71-30.90,345.1839268,25.6113683,-1.0,0.0,            ,                    
428,PSZ2 G093.94+13.75,303.330712,59.8340153,-1.0,0.0,            ,                    
431,PSZ2 G094.31-11.31,333.2398927,42.5787919,-1.0,0.0,            ,                    
437,PSZ2 G095.00-37.14,349.3564146,20.5736221,-1.0,0.0,            ,                    
443,PSZ2 G095.75-11.16,334.7027679,43.5133671,-1.0,0.0,            ,                    
444,PSZ2 G096.10+12.46,307.8285784,60.9109316,-1.0,0.0,            ,                    
446,PSZ2 G096.43-20.89,342.0362292,35.5559657,-1.0,0.0,            ,                    
453,PSZ2 G097.37-17.11,340.6788968,39.2821154,-1.0,0.0,            ,                    
455,PSZ2 G097.52-14.89,339.3764834,41.2783932,-1.0,0.0,            ,                    
461,PSZ2 G098.38+77.22,199.6058535,38.5852629,-1.0,0.0,            ,                    
462,PSZ2 G098.39+57.68,215.5697601,54.9011005,-1.0,0.0,            ,                    
464,PSZ2 G098.62+51.76,222.8270502,59.3306488,-1.0,0.0,            ,                    
466,PSZ2 G098.67-07.04,334.8563299,48.53956,-1.0,0.0,            ,                    
467,PSZ2 G098.75-28.63,348.4409718,29.6117242,-1.0,0.0,            ,                    
474,PSZ2 G099.55+34.23,257.6109137,68.7320602,-1.0,0.0,            ,                    
476,PSZ2 G099.62+14.86,307.6361682,65.0935874,-1.0,0.0,            ,                    
479,PSZ2 G100.07+17.06,303.5893034,66.6116951,-1.0,0.0,            ,                    
482,PSZ2 G100.22+33.81,258.4192833,69.3734256,-1.0,0.0,            ,                    
483,PSZ2 G100.38+16.73,304.6810571,66.7029838,-1.0,0.0,            ,                    
484,PSZ2 G100.45+16.79,304.6406633,66.7855144,-1.0,0.0,            ,                    
493,PSZ2 G102.98-04.77,338.706986,52.7264019,-1.0,0.0,            ,                    
496,PSZ2 G104.15-38.85,357.201837,21.7235008,-1.0,0.0,            ,                    
499,PSZ2 G104.52+39.39,239.4819385,70.3849381,-1.0,0.0,            ,                    
500,PSZ2 G104.58-15.41,347.958263,43.8835912,-1.0,0.0,            ,                    
504,PSZ2 G105.00+39.68,238.1512045,70.5333574,-1.0,0.0,            ,                    
509,PSZ2 G105.82-38.36,358.3930757,22.5789079,-1.0,0.0,            ,                    
510,PSZ2 G105.94-16.14,350.0238946,43.6922767,-1.0,0.0,            ,                    
511,PSZ2 G106.11+24.11,290.3513156,74.5560767,-1.0,0.0,            ,                    
513,PSZ2 G106.21+26.32,282.1361085,75.0586641,-1.0,0.0,            ,                    
515,PSZ2 G106.48-10.42,347.6369971,49.1954944,-1.0,0.0,            ,                    
521,PSZ2 G107.41-09.57,348.4457875,50.3255589,-1.0,0.0,            ,                    
524,PSZ2 G107.83-45.45,1.8955149,16.1308493,-1.0,0.0,            ,                    
525,PSZ2 G108.13-09.21,349.29126,50.92679,-1.0,0.0,            ,                    
537,PSZ2 G110.69-46.25,4.0991727,15.7851217,-1.0,0.0,            ,                    
541,PSZ2 G112.07-39.86,3.8729798,22.2454189,-1.0,0.0,            ,                    
544,PSZ2 G112.54+59.53,202.4759113,56.8123493,-1.0,0.0,            ,                    
545,PSZ2 G112.69+33.37,245.1021381,79.1815742,-1.0,0.0,            ,                    
547,PSZ2 G113.27+48.39,209.7444405,67.4430861,-1.0,0.0,            ,                    
559,PSZ2 G114.98+19.10,328.8991652,79.1533315,-1.0,0.0,            ,                    
562,PSZ2 G115.34-54.89,8.4668024,7.7219047,-1.0,0.0,            ,                    
567,PSZ2 G116.05+20.00,329.9460709,80.4907217,-1.0,0.0,            ,                    
573,PSZ2 G117.11+11.48,352.4867269,73.433356,-1.0,0.0,            ,                    
574,PSZ2 G117.38-52.47,9.4267042,10.2485363,-1.0,0.0,            ,                    
580,PSZ2 G118.49+48.17,201.0201893,68.6690138,-1.0,0.0,            ,                    
581,PSZ2 G118.56-13.14,6.3098483,49.5022531,-1.0,0.0,            ,                    
583,PSZ2 G118.79+47.50,200.8033323,69.363498,-1.0,0.0,            ,                    
589,PSZ2 G120.30+44.47,199.1191314,72.5242086,-1.0,0.0,            ,                    
590,PSZ2 G120.36+26.03,307.7575553,87.4583044,-1.0,0.0,            ,                    
591,PSZ2 G120.75+25.39,323.9867091,87.3829243,-1.0,0.0,            ,                    
592,PSZ2 G120.76+44.14,198.161655,72.8898531,-1.0,0.0,            ,                    
596,PSZ2 G121.87-45.97,12.0891779,16.8876077,-1.0,0.0,            ,                    
599,PSZ2 G122.81+24.74,10.3560728,87.6156268,-1.0,0.0,            ,                    
602,PSZ2 G123.35+25.39,25.3316766,88.2207142,-1.0,0.0,            ,                    
603,PSZ2 G123.42+30.63,185.9744321,86.4708649,-1.0,0.0,            ,                    
607,PSZ2 G123.84+25.75,43.875001,88.4005322,-1.0,0.0,            ,                    
608,PSZ2 G124.11+25.02,40.0122567,87.6440917,-1.0,0.0,            ,                    
610,PSZ2 G124.56+25.38,53.1306464,87.7221135,-1.0,0.0,            ,                    
611,PSZ2 G125.11+28.14,131.0118618,87.8181567,-1.0,0.0,            ,                    
612,PSZ2 G125.25+33.33,175.5136227,83.477842,-1.0,0.0,            ,                    
615,PSZ2 G125.41+27.95,123.9960994,87.6465943,-1.0,0.0,            ,                    
616,PSZ2 G125.55+32.72,171.3945938,83.9580908,-1.0,0.0,            ,                    
619,PSZ2 G125.84-18.72,16.6965567,44.0575128,-1.0,0.0,            ,                    
622,PSZ2 G126.28+65.62,190.640896,51.444744,-1.0,0.0,            ,                    
623,PSZ2 G126.36-19.11,17.3427694,43.6337046,-1.0,0.0,            ,                    
624,PSZ2 G126.57+51.61,187.4358601,65.3560651,-1.0,0.0,            ,                    
626,PSZ2 G126.62-53.42,15.0871885,9.3810607,-1.0,0.0,            ,                    
627,PSZ2 G126.72-21.03,17.6029704,41.6923619,-1.0,0.0,            ,                    
630,PSZ2 G127.35-10.69,19.9230925,51.9376092,-1.0,0.0,            ,                    
635,PSZ2 G128.15-24.71,18.8768459,37.9134608,-1.0,0.0,            ,                    
639,PSZ2 G129.99-22.42,21.3890921,39.9802993,-1.0,0.0,            ,                    
643,PSZ2 G130.64+37.16,161.7858341,78.0334924,-1.0,0.0,            ,                    
645,PSZ2 G131.15-14.72,24.6438871,47.3943104,-1.0,0.0,            ,                    
646,PSZ2 G131.19+14.48,45.8675402,75.1995957,-1.0,0.0,            ,                    
647,PSZ2 G131.27-25.82,22.2049403,36.4447257,-1.0,0.0,            ,                    
653,PSZ2 G133.92-42.73,21.4009719,19.4054167,-1.0,0.0,            ,                    
654,PSZ2 G134.26-44.28,21.3587181,17.8353131,-1.0,0.0,            ,                    
665,PSZ2 G135.94-68.22,17.6739276,-5.8457092,-1.0,0.0,            ,                    
666,PSZ2 G136.02-47.15,22.0270344,14.7830782,-1.0,0.0,            ,                    
667,PSZ2 G136.31+54.67,176.959825,60.7655753,-1.0,0.0,            ,                    
668,PSZ2 G136.33-44.53,22.8256815,17.3002661,-1.0,0.0,            ,                    
672,PSZ2 G137.24+53.93,175.2772366,61.1941741,-1.0,0.0,            ,                    
673,PSZ2 G137.51-09.98,35.6915129,50.2843837,-1.0,0.0,            ,                    
674,PSZ2 G137.58+53.88,174.8622413,61.1502891,-1.0,0.0,            ,                    
680,PSZ2 G139.00+50.92,170.04514,63.2596134,-1.0,0.0,            ,                    
683,PSZ2 G139.72-17.13,34.9805552,42.8316596,-1.0,0.0,            ,                    
687,PSZ2 G141.59+23.69,95.4832471,72.8127992,-1.0,0.0,            ,                    
689,PSZ2 G141.98+69.31,183.2386618,46.3647694,-1.0,0.0,            ,                    
692,PSZ2 G142.39+22.80,93.3710982,71.853473,-1.0,0.0,            ,                    
693,PSZ2 G142.41+30.68,119.2625933,72.6019481,-1.0,0.0,            ,                    
698,PSZ2 G143.70-08.59,45.1628082,48.9905428,-1.0,0.0,            ,                    
699,PSZ2 G143.90+25.06,101.33508,71.072161,-1.0,0.0,            ,                    
700,PSZ2 G144.23-18.19,39.7213686,40.1886297,-1.0,0.0,            ,                    
704,PSZ2 G144.84-35.16,32.4229782,24.3554345,-1.0,0.0,            ,                    
707,PSZ2 G145.25+50.84,163.3571656,60.8620137,-1.0,0.0,            ,                    
711,PSZ2 G146.10-55.55,25.7705973,4.9787322,-1.0,0.0,            ,                    
712,PSZ2 G146.13+40.97,144.7845117,66.4370544,-1.0,0.0,            ,                    
713,PSZ2 G146.16-48.92,28.1790338,11.1670104,-1.0,0.0,            ,                    
716,PSZ2 G146.88+17.13,83.541164,65.7206336,-1.0,0.0,            ,                    
719,PSZ2 G147.17+42.67,147.4524607,64.9221226,-1.0,0.0,            ,                    
722,PSZ2 G148.60-48.61,29.8157808,10.8423085,-1.0,0.0,            ,                    
726,PSZ2 G149.73+24.49,102.6639918,65.7775385,-1.0,0.0,            ,                    
731,PSZ2 G150.64-14.21,49.3320472,40.6768891,-1.0,0.0,            ,                    
738,PSZ2 G152.40+75.00,183.3146954,39.8576654,-1.0,0.0,            ,                    
739,PSZ2 G152.47+42.11,142.4646549,61.6578671,-1.0,0.0,            ,                    
743,PSZ2 G153.56+36.82,131.1331774,62.4116576,-1.0,0.0,            ,                    
745,PSZ2 G153.68+36.96,131.3865663,62.2867048,-1.0,0.0,            ,                    
746,PSZ2 G153.80+33.79,124.5597121,62.6820159,-1.0,0.0,            ,                    
753,PSZ2 G156.24+22.32,101.2348846,59.4509539,-1.0,0.0,            ,                    
755,PSZ2 G156.88+13.48,86.4220679,55.5110309,-1.0,0.0,            ,                    
756,PSZ2 G157.07-33.63,42.9257861,21.1472335,-1.0,0.0,            ,                    
762,PSZ2 G158.45-42.92,38.7207487,12.7027873,-1.0,0.0,            ,                    
763,PSZ2 G159.40-40.67,40.5699971,14.2141296,-1.0,0.0,            ,                    
767,PSZ2 G160.83-70.63,24.8538861,-11.3814743,-1.0,0.0,            ,                    
768,PSZ2 G160.94+44.85,143.3680894,54.9523149,-1.0,0.0,            ,                    
770,PSZ2 G161.73-28.58,49.5733828,23.0123233,-1.0,0.0,            ,                    
774,PSZ2 G163.04-27.80,51.0846176,22.9189349,-1.0,0.0,            ,                    
775,PSZ2 G163.22-26.48,52.1190377,23.8375434,-1.0,0.0,            ,                    
779,PSZ2 G163.89+11.55,88.9452086,48.5704927,-1.0,0.0,            ,                    
784,PSZ2 G164.85-16.55,60.7550608,30.321771,-1.0,0.0,            ,                    
787,PSZ2 G165.39+09.22,86.9938492,46.144236,-1.0,0.0,            ,                    
788,PSZ2 G165.41+25.93,110.9884291,52.1545359,-1.0,0.0,            ,                    
794,PSZ2 G166.27-25.02,55.4345916,23.1834587,-1.0,0.0,            ,                    
795,PSZ2 G166.27-24.71,55.6607979,23.4114979,-1.0,0.0,            ,                    
796,PSZ2 G166.56-17.69,61.1943292,28.3606005,-1.0,0.0,            ,                    
798,PSZ2 G167.43-53.67,37.3960557,0.4950833,-1.0,0.0,            ,                    
799,PSZ2 G167.44-38.06,47.3017385,12.61986,-1.0,0.0,            ,                    
800,PSZ2 G167.63-43.99,43.5900834,7.9529478,-1.0,0.0,            ,                    
809,PSZ2 G171.08-80.38,20.4903197,-20.5159981,-1.0,0.0,            ,                    
810,PSZ2 G171.22-26.03,58.1852448,19.3907183,-1.0,0.0,            ,                    
811,PSZ2 G171.48+16.17,99.5213658,43.8494544,-1.0,0.0,            ,                    
812,PSZ2 G171.79-42.08,47.1661112,7.4091582,-1.0,0.0,            ,                    
818,PSZ2 G173.07-36.15,52.0191623,11.0394011,-1.0,0.0,            ,                    
819,PSZ2 G173.76+22.92,109.3682496,44.0576724,-1.0,0.0,            ,                    
826,PSZ2 G176.07-26.95,60.6378749,15.6137181,-1.0,0.0,            ,                    
830,PSZ2 G177.03+32.64,123.3525928,43.2650973,-1.0,0.0,            ,                    
834,PSZ2 G179.33-22.22,66.3755343,16.4646611,-1.0,0.0,            ,                    
835,PSZ2 G179.45-43.92,49.8117183,2.1336763,-1.0,0.0,            ,                    
839,PSZ2 G180.74-85.21,17.3079106,-24.510787,-1.0,0.0,            ,                    
844,PSZ2 G181.88-30.77,61.0892686,9.2707977,-1.0,0.0,            ,                    
848,PSZ2 G183.32-31.51,61.2958879,7.8486555,-1.0,0.0,            ,                    
850,PSZ2 G183.92-68.82,32.0046213,-15.6243355,-1.0,0.0,            ,                    
851,PSZ2 G183.92+16.36,105.4893653,32.8598328,-1.0,0.0,            ,                    
856,PSZ2 G185.45-32.01,62.0169891,6.1094434,-1.0,0.0,            ,                    
857,PSZ2 G185.50-33.94,60.5059472,4.9029677,-1.0,0.0,            ,                    
858,PSZ2 G185.68+09.82,99.338963,28.6406154,-1.0,0.0,            ,                    
859,PSZ2 G185.72-32.23,61.9820324,5.7911452,-1.0,0.0,            ,                    
862,PSZ2 G186.50-13.45,77.952329,16.2058837,-1.0,0.0,            ,                    
868,PSZ2 G188.33-34.98,61.0748508,2.4081748,-1.0,0.0,            ,                    
