,MCXC,OName,AName,RAdeg,DEdeg,z,M500
455,J0658.5-5556,RXCJ0658.5-5556   ,1ES0657                                               ,104.63,-55.947,0.2965,10.3599
456,J0704.4+6318,RXC J0704.4+6318  ,A0566                                                 ,106.102,63.316,0.098,2.5235
457,J0707.0+2706,RXC J0707.0+2706  ,                                                      ,106.761,27.106,0.062,1.3771
458,J0708.1+7151,RXC J0708.1+7151  ,A0565                                                 ,107.032,71.857,0.1053,1.6204
459,J0710.4+2240,RXC J0710.4+2240  ,                                                      ,107.603,22.673,0.289,5.2347
460,J0711.7+3219,RXC J0711.7+3219  ,                                                      ,107.948,32.319,0.0672,1.9673
461,J0712.0-6030,RXCJ0712.0-6030   ,AM 0711                                               ,108.022,-60.502,0.0322,0.4348
462,J0714.3+5441,A572              ,A0572                                                 ,108.58,54.685,0.1043,1.4594
463,J0716.7+5324,RXC J0716.7+5324  ,Zw 0712.9+5834                                        ,109.178,53.408,0.0644,1.1043
464,J0717.1-3621,RXC J0717.1-3621  ,                                                      ,109.295,-36.36,0.032,1.0838
465,J0717.4-1119,RXC J0717.4-1119  ,                                                      ,109.363,-11.331,0.075,3.1457
466,J0717.5+3745,MACSJ0717.5+3745  ,MCS  J0717.5+3745                                     ,109.382,37.759,0.546,12.9576
467,J0719.5+0043,RXC J0719.5+0043  ,                                                      ,109.894,0.719,0.2197,5.2729
468,J0720.2+7132,BVH2007 78        ,                                                      ,110.074,71.536,0.268,1.0413
469,J0720.3+2348,RXC J0720.2+2348  ,                                                      ,110.075,23.816,0.168,3.1513
470,J0720.8+7108,BVH2007 79        ,                                                      ,110.224,71.149,0.23,0.9941
471,J0721.3+5547,RXC J0721.3+5547  ,A0576                                                 ,110.343,55.786,0.0381,1.681
472,J0724.9+6658,RXC J0724.9+6658  ,A0578                                                 ,111.23,66.979,0.0863,1.2147
473,J0726.0+4122,RXC J0726.0+4122  ,A0580                                                 ,111.502,41.382,0.112,2.0846
474,J0728.9+2935,RXC J0728.9+2935  ,                                                      ,112.238,29.586,0.3976,3.6493
475,J0729.4+2436,RXC J0729.4+2436  ,                                                      ,112.37,24.606,0.161,3.6042
476,J0729.7+7915,RXC J0729.7+7915  ,A0575                                                 ,112.442,79.254,0.1058,1.2819
477,J0732.3+3137,RXC J0732.3+3137  ,A0586                                                 ,113.092,31.63,0.171,5.1975
478,J0736.4+3925,RXC J0736.4+3925  ,                                                      ,114.106,39.433,0.1177,3.3105
479,J0737.6+5920,RXC J0737.6+5920  ,                                                      ,114.422,59.34,0.0384,0.3058
480,J0738.1-7506,RXCJ0738.1-7506   ,                                                      ,114.538,-75.107,0.111,1.7889
481,J0738.2+0101,RXC J0738.2+0101  ,                                                      ,114.569,1.031,0.189,3.7913
482,J0738.9+6956,MS0733.6+7003     ,A0588                                                 ,114.746,69.947,0.117,0.836
483,J0740.9+5525,RXC J0740.9+5525  ,UGC 03957                                             ,115.248,55.432,0.034,1.2902
484,J0741.5+2557,RXC J0741.5+2557  ,                                                      ,115.376,25.963,0.1577,1.4441
485,J0741.7+7414,RXC J0741.7+7414  ,Zw 0735.7+7421                                        ,115.437,74.248,0.2149,4.6049
486,J0742.6+0922,RXC J0742.6+0922  ,A0592                                                 ,115.661,9.369,0.062,1.332
487,J0744.8+3927,MACSJ0744.9+3927  ,MCS  J0744.9+3927                                     ,116.219,39.457,0.697,6.94
488,J0745.1-5404,RXC J0745.1-5404  ,ESO 163-IG015                                         ,116.29,-54.079,0.074,2.259
489,J0746.6+3100,RXC J0746.6+3100  ,                                                      ,116.655,31.014,0.0579,0.6754
490,J0747.5-1917,RXC J0747.5-1917  ,PKS0745-19                                            ,116.885,-19.292,0.1028,7.9855
491,J0748.1+1832,RXC J0748.1+1832  ,                                                      ,117.039,18.546,0.04,0.5199
492,J0751.3+5012,RXC J0751.3+5012  ,UGC 04052                                             ,117.844,50.213,0.0228,0.4197
