,MCXC,OName,AName,RAdeg,DEdeg,z,M500
863,J1221.4+4918,BVH2007 149       ,VMF98 119                                             ,185.354,49.302,0.7,3.0916
864,J1222.0+2709,BVH2007 150       ,                                                      ,185.508,27.155,0.472,2.1231
865,J1222.1+7526,RX J1222.1+7526   ,MS1219.9+7542                                         ,185.529,75.438,0.24,0.8861
866,J1222.2+2559,BVH2007 151       ,                                                      ,185.568,25.994,0.16,0.6727
867,J1223.1+1037,RXC J1223.1+1037  ,NGC 4325                                              ,185.777,10.624,0.0258,0.5594
868,J1224.2+7531,BVH2007 152       ,NGC4386                                               ,186.073,75.527,0.0056,0.0096
869,J1224.6+3159,RXC J1224.6+3159  ,SHK 245                                               ,186.167,31.986,0.063,0.6291
870,J1225.2+3213,RXC J1225.2+3213  ,                                                      ,186.3,32.229,0.0594,1.0213
871,J1226.3+6224,BVH2007 153       ,                                                      ,186.592,62.411,0.398,1.5464
872,J1226.9+3332,BVH2007 154       ,"CL J1226.9+3332, 1WGA J1226.9+3332                    ",186.74,33.547,0.888,4.3857
873,J1227.1+1951,RXC J1227.1+1951  ,MS 1224.7+2007                                        ,186.775,19.854,0.3241,4.4502
874,J1227.2+0858,BVH2007 155       ,RX J1227.2+0858 (SSHARC)                              ,186.809,8.971,0.0873,0.5192
875,J1227.4+0849,RXC J1227.4+0849  ,A1541                                                 ,186.867,8.829,0.0896,1.2514
876,J1227.8+6322,RXC J1227.8+6322  ,A1544                                                 ,186.96,63.383,0.1454,2.113
877,J1228.8+1924,RXC J1228.8+1924  ,A1548                                                 ,187.22,19.408,0.161,1.8759
878,J1229.0+4737,RXC J1229.0+4737  ,A1550                                                 ,187.259,47.625,0.254,3.5386
879,J1229.9+1147,RXC J1229.9+1147  ,A1552                                                 ,187.497,11.789,0.0852,1.4447
880,J1230.2+2326,BVH2007 156       ,                                                      ,187.559,23.434,0.221,1.3045
881,J1230.7+3439,RXC J1230.7+3439  ,                                                      ,187.679,34.655,0.3331,4.6781
882,J1230.7+1033,RXC J1230.7+1033  ,A1553                                                 ,187.696,10.561,0.165,4.3444
883,J1230.7+1220,Virgo             ,Virgo                                                 ,187.697,12.337,0.0036,1.2092
884,J1231.0+0037,RXC J1231.0+0037  ,NGC 4493                                              ,187.773,0.629,0.0232,0.1981
885,J1231.3+8225,RXC J1231.3+8225  ,                                                      ,187.85,82.428,0.2053,2.7776
886,J1231.7+4137,BVH2007 157       ,                                                      ,187.94,41.62,0.176,0.9469
887,J1232.8+2605,RX J1232.8+2605   ,                                                      ,188.202,26.094,0.22,1.4062
888,J1233.9+1525,MS1231.3+1542     ,                                                      ,188.481,15.432,0.238,2.2815
889,J1234.2+0947,RXC J1234.2+0947  ,Zw 1231.4+1007                                        ,188.566,9.783,0.229,3.769
890,J1234.2-3856,RXCJ1234.2-3856   ,                                                      ,188.571,-38.943,0.2373,5.2683
891,J1235.1+4117,BVH2007 158       ,A1565                                                 ,188.777,41.296,0.189,1.0699
892,J1235.9+2742,WARP J1235.9+2742 ,                                                      ,188.988,27.712,0.3821,1.1618
893,J1236.4+1631,RXC J1236.4+1631  ,A1569                                                 ,189.1,16.528,0.078,1.3503
894,J1236.4+1224,BVH2007 159       ,IC3574                                                ,189.119,12.406,0.0667,0.2734
895,J1236.5+0051,RX J1236.5+0051   ,VMF98 121                                             ,189.131,0.862,0.205,0.3916
896,J1236.7-3354,RXCJ1236.7-3354   ,S0700                                                 ,189.186,-33.903,0.0796,1.6327
897,J1236.7-3531,RXCJ1236.7-3531   ,S0701                                                 ,189.194,-35.533,0.0736,1.2932
898,J1236.9+2550,BVH2007 160       ,RX J1236.9+2550                                       ,189.237,25.841,0.175,0.8827
899,J1236.9+6311,RXC J1236.9+6311  ,A1576                                                 ,189.246,63.191,0.3019,5.393
900,J1237.6+2632,RX J1237.6+2632   ,VMF98 123                                             ,189.411,26.54,0.278,0.7096
901,J1240.2-4825,RXC J1240.2-4825  ,                                                      ,190.057,-48.433,0.152,4.8403
902,J1240.4-1147,WARP J1240.4-1147 ,                                                      ,190.104,-11.793,0.193,0.7
903,J1241.3+1834,RXC J1241.3+1834  ,A1589                                                 ,190.33,18.571,0.073,1.7931
904,J1241.5+3250,RX J1241.5+3250   ,                                                      ,190.388,32.84,0.39,2.8284
905,J1242.8+0241,RXC J1242.8+0241  ,NGC 4636                                              ,190.706,2.686,0.0031,0.1231
906,J1243.3+2716,RXC J1243.3+2716  ,A1602                                                 ,190.845,27.276,0.194,2.7771
907,J1244.0+1653,MS1241.5+1710     ,                                                      ,191.007,16.895,0.549,3.1592
908,J1244.6-1159,RXCJ1244.6-1159   ,A1606                                                 ,191.158,-11.985,0.0963,2.3246
909,J1246.0+7057,MS1244.2+7114     ,ZwCl5434?                                             ,191.522,70.965,0.225,2.7077
910,J1247.3+5500,RXC J1247.3+5500  ,A1616                                                 ,191.843,55.011,0.083,1.0254
911,J1247.7-0548,WARP J1247.7-0548 ,                                                      ,191.93,-5.816,0.2928,0.695
912,J1247.7-0247,RXCJ1247.7-0247   ,A1612                                                 ,191.93,-2.792,0.1797,3.0859
913,J1248.6-0548,BVH2007 161       ,NGC4697                                               ,192.152,-5.8,0.0041,0.0113
914,J1248.7-4118,RXCJ1248.7-4118   ,A3526                                                 ,192.2,-41.308,0.0114,1.6218
915,J1252.0-2920,BVH2007 162       ,VMF98 124                                             ,193.02,-29.347,0.188,0.8715
916,J1252.5-3116,RXCJ1252.5-3116   ,                                                      ,193.142,-31.268,0.0535,1.8872
917,J1253.0+6248,BVH2007 163       ,A1636                                                 ,193.27,62.803,0.235,1.1696
918,J1253.0-0912,RXCJ1253.0-0912   ,HCG 62                                                ,193.273,-9.2,0.0146,0.2719
919,J1253.2-1522,RXCJ1253.2-1522   ,A1631                                                 ,193.31,-15.38,0.0462,0.9838
920,J1253.2+1555,RX J1253.2+1556   ,BSe RXJ1253.2+1556                                    ,193.312,15.931,0.275,1.2028
921,J1253.6-3931,RXCJ1253.6-3931   ,                                                      ,193.421,-39.532,0.1794,6.9838
922,J1254.0-0642,RXCJ1254.0-0642   ,A1634                                                 ,193.511,-6.701,0.1962,3.9698
923,J1254.3-2901,RXCJ1254.3-2901   ,A3528N                                                ,193.598,-29.023,0.0542,1.5435
924,J1254.6+2545,RX J1254.6+2545   ,VMF98 126                                             ,193.66,25.754,0.193,0.5776
925,J1254.6-2913,RXCJ1254.6-2913   ,A3528S                                                ,193.673,-29.223,0.0544,2.0799
926,J1254.7-1526,RXCJ1254.7-1526   ,                                                      ,193.696,-15.444,0.1506,2.8191
927,J1254.8+2550,RX J1254.8+2550   ,VMF98 127                                             ,193.723,25.849,0.233,0.8368
928,J1255.5+3521,RXC J1255.5+3521  ,                                                      ,193.878,35.36,0.1585,1.4278
929,J1255.5-3019,RXCJ1255.5-3019   ,A3530                                                 ,193.894,-30.33,0.0541,1.5583
930,J1255.7-1239,RXCJ1255.7-1239   ,                                                      ,193.926,-12.655,0.0585,0.8179
931,J1256.0+2556,RX J1256.0+2556   ,VMF98 128                                             ,194.02,25.948,0.232,0.7034
932,J1256.4+0440,MS1253.9+0456     ,ZwCl5587                                              ,194.111,4.67,0.23,2.4053
933,J1256.6+4715,RX J1256.6+4715   ,VMF98 129                                             ,194.164,47.255,0.404,0.9339
934,J1256.9-3119,RXCJ1256.9-3119   ,                                                      ,194.249,-31.322,0.0561,1.1076
935,J1257.1-1724,RXCJ1257.1-1724   ,A1644                                                 ,194.291,-17.4,0.0473,2.9254
936,J1257.1-1339,RXCJ1257.1-1339   ,                                                      ,194.292,-13.656,0.0151,0.1837
937,J1257.2-3022,RXCJ1257.2-3022   ,A3532                                                 ,194.32,-30.377,0.0554,2.3354
938,J1257.3+6930,RXC J1257.3+6930  ,Zw 1255.4+6946                                        ,194.334,69.506,0.227,2.7816
939,J1258.6-0145,RXCJ1258.6-0145   ,A1650                                                 ,194.671,-1.757,0.0845,4.1213
940,J1258.8-2640,RXCJ1258.8-2640   ,A1648                                                 ,194.708,-26.668,0.0767,1.6005
941,J1259.3-0411,RXCJ1259.3-0411   ,A1651                                                 ,194.839,-4.195,0.0845,4.3928
942,J1259.7+2756,RXC J1259.7+2756  ,Coma                                                  ,194.929,27.939,0.0231,4.2846
943,J1259.7-3237,RX J1259.7-3236   ,                                                      ,194.939,-32.617,0.076,0.4571
944,J1259.8+3120,BVH2007 164       ,                                                      ,194.962,31.347,0.0523,0.3373
945,J1301.6-0650,RXCJ1301.6-0650   ,                                                      ,195.401,-6.833,0.0898,1.5884
946,J1301.7+1059,BVH2007 165       ,VMF98 130                                             ,195.431,10.993,0.231,1.283
947,J1302.8-0230,RXCJ1302.8-0230   ,A1663                                                 ,195.711,-2.506,0.0847,1.605
948,J1303.0+5756,RXC J1303.0+5756  ,                                                      ,195.761,57.942,0.1961,2.2697
949,J1303.7-2415,RXCJ1303.7-2415   ,A3541                                                 ,195.934,-24.251,0.1288,4.0606
950,J1303.7+1916,RXC J1303.7+1916  ,A1668                                                 ,195.94,19.271,0.0643,1.8814
951,J1304.2-3030,RXCJ1304.2-3030   ,                                                      ,196.07,-30.515,0.0117,0.2254
952,J1304.4+3335,RXC J1304.4+3335  ,A1672                                                 ,196.115,33.592,0.1882,3.2319
953,J1305.9-3739,RXCJ1305.9-3739   ,S0721                                                 ,196.477,-37.661,0.0497,1.2242
954,J1305.9+3054,RXC J1305.9+3054  ,A1677                                                 ,196.478,30.906,0.1832,3.6434
955,J1306.0+2630,ZwCl5699          ,ZwCl5699                                              ,196.507,26.505,0.3063,5.6206
956,J1306.9+4633,RXC J1306.9+4633  ,A1682                                                 ,196.728,46.556,0.2259,4.716
957,J1307.8+2925,MS1305.4+2941     ,ZwCl5722                                              ,196.953,29.43,0.241,1.5174
958,J1308.5+5342,BVH2007 166       ,RX J1308.5+5342 (BSHARC)                              ,197.137,53.704,0.33,1.4101
959,J1309.2-0136,RXCJ1309.2-0136   ,MS1306.7                                              ,197.321,-1.613,0.088,1.8597
960,J1309.9+3222,RX J1309.9+3222   ,VMF98 131                                             ,197.482,32.375,0.29,0.8509
961,J1311.0-0310,MACSJ1311.0-0310  ,MCS  J1311.0-0310                                     ,197.758,-3.177,0.494,4.1524
962,J1311.1+3913,RXC J1311.1+3913  ,A1691                                                 ,197.791,39.218,0.072,1.3862
963,J1311.2+3228,BVH2007 167       ,VMF98 132                                             ,197.803,32.483,0.245,1.8542
964,J1311.5-0120,RXCJ1311.4-0120   ,A1689                                                 ,197.875,-1.335,0.1832,8.392
965,J1311.5-0551,RX J1311.5-0551   ,VMF98 133                                             ,197.876,-5.857,0.461,1.7633
966,J1311.5+2200,ZwCl5768          ,ZwCl5768                                              ,197.884,22.009,0.266,4.9919
967,J1311.7+2201,RXC J1311.7+2201  ,                                                      ,197.93,22.027,0.1716,1.8158
968,J1311.8+3227,RX J1311.8+3227   ,                                                      ,197.958,32.461,0.43,2.0627
969,J1312.3+3900,BVH2007 168       ,                                                      ,198.081,39.016,0.404,2.2138
970,J1313.1+4616,RXC J1313.1+4616  ,A1697                                                 ,198.277,46.281,0.183,3.2283
971,J1313.6-3250,BVH2007 169       ,BS RXJ1313.6-3250                                     ,198.413,-32.845,0.0518,0.206
972,J1314.2-0659,RXCJ1314.2-0659   ,A1698                                                 ,198.556,-6.993,0.1892,3.7635
973,J1314.2+4123,RXC J1314.2+4123  ,                                                      ,198.561,41.393,0.2011,2.3593
974,J1314.4+6434,RXC J1314.4+6434  ,A1704                                                 ,198.602,64.578,0.22,4.1653
975,J1314.4-2515,RXCJ1314.4-2515   ,                                                      ,198.617,-25.261,0.2439,6.9392
976,J1315.1+5149,RXC J1315.1+5149  ,A1703                                                 ,198.778,51.825,0.2836,4.6626
977,J1315.3-1623,RXCJ1315.3-1623   ,NGC 5044                                              ,198.85,-16.39,0.0087,0.5144
978,J1316.0+2855,WARP J1316.0+2856S,GHO 1313+2911                                         ,199.017,28.922,0.253,0.717
979,J1317.1-3821,RXCJ1317.1-3821   ,                                                      ,199.29,-38.362,0.2553,5.6404
980,J1319.7-2127,MS1317.0-2111     ,                                                      ,199.936,-21.456,0.164,1.5992
981,J1320.0+7003,RXC J1320.0+7003  ,A1722                                                 ,200.018,70.062,0.3275,4.8603
982,J1320.2+3308,RXC J1320.2+3308  ,NGC 5098                                              ,200.064,33.142,0.0362,0.5165
983,J1320.7-4102,RXCJ1320.7-4102   ,S0727                                                 ,200.178,-41.04,0.0495,0.9
984,J1320.7-4855,RXC J1320.7-4855  ,                                                      ,200.196,-48.93,0.227,3.7894
985,J1320.9+3354,RXC J1320.9+3354  ,A1716                                                 ,200.237,33.904,0.182,2.4586
986,J1322.8+3138,RXC J1322.8+3138  ,                                                      ,200.718,31.646,0.3083,4.0587
987,J1323.5+1117,A1728             ,A1728                                                 ,200.876,11.296,0.0911,1.6682
988,J1324.1+1358,RXC J1324.1+1358  ,NGC 5129                                              ,201.05,13.979,0.023,0.2825
989,J1324.7-5736,RXC J1324.7-5736  ,                                                      ,201.18,-57.614,0.019,1.6812
990,J1325.0-3813,RX J1325.0-3814   ,BSe RXJ1325.0-3814                                    ,201.257,-38.227,0.296,1.0301
991,J1325.1-2014,RXCJ1325.1-2014   ,A1732                                                 ,201.278,-20.236,0.1926,3.9924
992,J1325.2+6550,RX J1325.2+6550   ,VMF98 134                                             ,201.312,65.841,0.18,0.5373
993,J1325.5-3825,RX J1325.5-3826   ,BSe RXJ1325.6-3825                                    ,201.395,-38.431,0.445,1.9085
994,J1325.8+5919,RXC J1325.8+5919  ,A1744                                                 ,201.457,59.322,0.1515,2.6306
995,J1326.2+1230,RXC J1326.2+1230  ,A1735                                                 ,201.572,12.501,0.204,6.0627
996,J1326.2+0013,RXCJ1326.2+0013   ,RXJ1326.3+0013                                        ,201.574,0.226,0.0826,1.8258
997,J1326.9-2710,RXCJ1326.9-2710   ,A1736                                                 ,201.725,-27.183,0.0458,2.7065
998,J1327.9-3130,RXCJ1327.9-3130   ,A3558                                                 ,201.99,-31.503,0.048,3.9741
999,J1329.4+1143,BVH2007 170       ,"VMF98 136, NGC5171, NGC5176                           ",202.366,11.723,0.0228,0.1704
1000,J1329.5+1147,RXC J1329.5+1147  ,MKW 11                                                ,202.384,11.789,0.022,0.3805
1001,J1329.6+2946,BVH2007 NS 8      ,CGCG161-067                                           ,202.414,29.768,0.0473,0.1713
1002,J1329.7-3136,RXCJ1329.7-3136   ,A3558 (B)                                             ,202.429,-31.603,0.0488,1.721
1003,J1329.8-3310,BVH2007 171       ,                                                      ,202.456,-33.173,0.0511,0.1645
1004,J1329.9+5834,WARP J1329.9+5834 ,                                                      ,202.493,58.569,0.302,0.8868
1005,J1330.8-0152,RXCJ1330.8-0152   ,A1750                                                 ,202.708,-1.873,0.0852,3.0567
1006,J1330.9+5814,WARP J1330.9+5814 ,                                                      ,202.746,58.249,0.31,1.2484
1007,J1331.5+1108,WARP J1331.5+1108 ,RX J133129.9+110802 (RIXOS)                           ,202.876,11.134,0.085,0.2064
1008,J1331.5+6238,BVH2007 172       ,                                                      ,202.879,62.64,0.219,1.0481
1009,J1331.5-3148,RXCJ1331.5-3148   ,A3558 (C)                                             ,202.885,-31.815,0.0448,0.8332
1010,J1332.3-3308,RXCJ1332.3-3308   ,A3560                                                 ,203.094,-33.139,0.0487,1.6821
1011,J1332.5+5024,A1758b            ,A1758b                                                ,203.126,50.409,0.28,3.9877
1012,J1332.6+5419,RXC J1332.6+5419  ,                                                      ,203.167,54.32,0.1017,1.4944
1013,J1332.7+5032,RXC J1332.7+5032  ,A1758a                                                ,203.18,50.55,0.2799,7.1929
1014,J1332.9-2519,RXCJ1332.9-2519   ,                                                      ,203.233,-25.324,0.1199,2.0385
1015,J1333.6-3139,RXCJ1333.6-3139   ,A3562                                                 ,203.401,-31.661,0.049,2.3698
1016,J1333.6-2317,RXCJ1333.6-2317   ,A1757                                                 ,203.425,-23.284,0.1264,3.1994
1017,J1334.1+2013,RXC J1334.1+2013  ,A1759                                                 ,203.529,20.231,0.171,2.673
1018,J1334.3+5031,BVH2007 173       ,                                                      ,203.585,50.518,0.62,2.6559
1019,J1334.3+3441,RXC J1334.3+3441  ,NGC 5223                                              ,203.599,34.691,0.024,0.252
1020,J1334.5+3756,RX J1334.5+3756   ,VMF98 138                                             ,203.643,37.949,0.308,0.3245
1021,J1335.0+3749,RX J1335.0+3750   ,VMF98 139                                             ,203.765,37.833,0.382,0.5938
1022,J1335.3+4059,RXC J1335.3+4059  ,A1763                                                 ,203.826,40.997,0.2279,6.2197
1023,J1336.1+5912,RXC J1336.1+5912  ,A1767                                                 ,204.025,59.208,0.0701,2.3626
1024,J1336.6-3357,RXCJ1336.6-3357   ,A3565                                                 ,204.162,-33.958,0.0123,0.1276
1025,J1336.7+3837,RX J1336.7+3837   ,VMF98 140                                             ,204.175,38.626,0.18,0.3943
1026,J1337.1+2649,WARP J1337.1+2649 ,                                                      ,204.296,26.826,0.41,1.2872
1027,J1337.4-4120,RXCJ1337.4-4120   ,                                                      ,204.367,-41.333,0.0519,0.9874
1028,J1337.8+2638,RX J1337.8+2638   ,VMF98 142                                             ,204.46,26.647,0.342,1.0646
1029,J1337.8+3854,RX J1337.8+3854   ,VMF98 143                                             ,204.472,38.903,0.252,0.9659
1030,J1338.0-2944,BVH2007 174       ,MS1335.2-2928                                         ,204.524,-29.739,0.189,1.2861
1031,J1338.4+2644,WARP J1338.4+2644 ,                                                      ,204.603,26.744,0.029,0.0446
1032,J1338.8+3851,BVH2007 175       ,3C28                                                  ,204.709,38.855,0.246,2.1537
1033,J1339.0+2745,WARP J1339.0+2745 ,                                                      ,204.768,27.757,0.13,0.4254
1034,J1339.5+1830,RXC J1339.5+1830  ,                                                      ,204.895,18.512,0.114,1.1802
1035,J1340.5+4017,BVH2007 176       ,VMF98 144                                             ,205.14,40.296,0.171,0.6576
1036,J1340.9+3958,BVH2007 177       ,"VMF98 145, A1774                                      ",205.225,39.974,0.169,1.024
1037,J1341.8+2622,RXC J1341.8+2622  ,A1775                                                 ,205.474,26.372,0.0724,2.4779
1038,J1342.0+0213,RXCJ1342.0+0213   ,A1773                                                 ,205.523,2.227,0.0765,1.6756
1039,J1342.8+4028,RX J1342.8+4028   ,VMF98 148                                             ,205.705,40.47,0.699,1.767
1040,J1343.4+4053,RX J1343.4+4053   ,VMF98 149                                             ,205.854,40.887,0.14,0.4495
1041,J1343.4+5546,BVH2007 179       ,"VMF98 150, A1783                                      ",205.866,55.782,0.0673,0.2444
1042,J1343.7+5538,RX J1343.7+5538   ,A1783                                                 ,205.939,55.639,0.0766,0.7032
1043,J1344.3+3906,RXC J1344.3+3906  ,                                                      ,206.076,39.112,0.2997,2.4774
1044,J1346.2-1632,RXCJ1346.2-1632   ,                                                      ,206.557,-16.545,0.0557,0.8514
1045,J1346.8-3752,RXCJ1346.8-3752   ,A3570                                                 ,206.719,-37.874,0.0377,0.6992
1046,J1347.2-3025,RXCJ1347.2-3025   ,A3574W                                                ,206.801,-30.419,0.0145,0.1559
1047,J1347.4-3250,RXCJ1347.4-3250   ,A3571                                                 ,206.868,-32.85,0.0391,4.5067
1048,J1347.5-1144,RXCJ1347.5-1144   ,RXJ1347.5-1145                                        ,206.875,-11.749,0.4516,13.1779
1049,J1348.8+2635,RXC J1348.8+2635  ,A1795                                                 ,207.221,26.596,0.0622,5.528
1050,J1348.9-2526,RXCJ1348.9-2526   ,A1791                                                 ,207.233,-25.442,0.1269,2.3515
1051,J1349.0+4918,BVH2007 180       ,A1804                                                 ,207.251,49.309,0.167,1.3218
1052,J1349.3-3018,RXCJ1349.3-3018   ,A3574E                                                ,207.33,-30.309,0.016,0.303
1053,J1349.3+2806,RXC J1349.3+2806  ,A1800                                                 ,207.34,28.104,0.0748,2.2515
1054,J1350.7-3343,RXCJ1350.7-3343   ,                                                      ,207.683,-33.722,0.1142,2.2004
1055,J1350.8+6007,WARP J1350.8+6007 ,                                                      ,207.71,60.126,0.796,2.6419
1056,J1351.7+4622,RXC J1351.7+4622  ,                                                      ,207.94,46.367,0.0625,0.9247
1057,J1352.2-0945,RXCJ1352.2-0945   ,A1807                                                 ,208.058,-9.759,0.2021,3.4724
1058,J1353.0+0509,RXC J1353.0+0509  ,A1809                                                 ,208.254,5.155,0.0788,1.9898
1059,J1353.4-2753,RXCJ1353.4-2753   ,                                                      ,208.372,-27.889,0.0468,0.8749
1060,J1354.0+1455,RXC J1354.0+1455  ,A1814                                                 ,208.51,14.923,0.1251,2.2064
1061,J1354.2-0221,BVH2007 181       ,VMF98 151                                             ,208.57,-2.363,0.546,2.0887
1062,J1354.6+7715,RXC J1354.6+7715  ,                                                      ,208.658,77.26,0.3967,5.69
1063,J1354.8+6917,RX J1354.8+6917   ,VMF98 152                                             ,208.705,69.289,0.207,0.489
1064,J1357.3+6232,BVH2007 182       ,                                                      ,209.331,62.545,0.525,2.3964
1065,J1358.0+2038,RXC J1358.0+2038  ,A1825                                                 ,209.508,20.636,0.062,0.5323
1066,J1358.9-4750,RXC J1358.9-4750  ,                                                      ,209.737,-47.839,0.074,3.3558
1067,J1359.2+2758,RXC J1359.2+2758  ,A1831                                                 ,209.823,27.973,0.0612,1.9807
1068,J1359.5+6219,BVH2007 NS 9      ,                                                      ,209.892,62.317,0.332,2.6547
1069,J1359.8+6231,RXC J1359.8+6231  ,Zw 1358.1+6245                                        ,209.971,62.521,0.3259,4.6093
1070,J1400.2+7207,RXC J1400.2+7207  ,A1851                                                 ,210.06,72.126,0.2143,2.7294
1071,J1401.0+0252,RXC J1401.0+0252  ,A1835                                                 ,210.26,2.88,0.2528,10.4956
1072,J1401.6-1107,RXCJ1401.6-1107   ,A1837                                                 ,210.403,-11.125,0.0698,1.4817
1073,J1403.5-3359,RXCJ1403.5-3359   ,S0753                                                 ,210.9,-33.988,0.0132,0.2666
1074,J1404.4+0423,MS1401.9+0437     ,                                                      ,211.116,4.384,0.23,1.1455
1075,J1406.2+2830,RX J1406.2+2830   ,VMF98 153                                             ,211.568,28.514,0.546,1.5639
1076,J1406.9+2834,BVH2007 183       ,VMF98 154                                             ,211.729,28.571,0.118,0.5587
1077,J1407.4-2700,RXCJ1407.4-2700   ,A3581                                                 ,211.867,-27.015,0.023,1.0806
1078,J1407.8-5100,RXC J1407.8-5100  ,                                                      ,211.969,-51.009,0.0966,4.4006
1079,J1408.1-0904,RXCJ1408.1-0904   ,CAN 40                                                ,212.029,-9.071,0.0354,0.6071
1080,J1410.2+5942,BVH2007 184       ,VMF98 155                                             ,212.556,59.711,0.316,2.0075
1081,J1410.2+5938,BVH2007 185       ,VMF98 156                                             ,212.566,59.641,0.319,1.5066
1082,J1410.4-4246,RXC J1410.4-4246  ,                                                      ,212.619,-42.777,0.049,1.2483
1083,J1411.4+5212,RXC J1411.4+5212  ,3C295                                                 ,212.852,52.211,0.4599,4.5306
1084,J1412.5-0309,MS1409.9-0255     ,                                                      ,213.148,-3.153,0.221,1.27
1085,J1413.7+4339,RXC J1413.7+4339  ,A1885                                                 ,213.431,43.663,0.089,1.9516
1086,J1414.2+7115,A1895             ,A1895                                                 ,213.551,71.26,0.225,3.6798
1087,J1415.1+3612,WARP J1415.1+3612 ,                                                      ,213.796,36.201,0.7,2.2711
1088,J1415.2-0030,RXCJ1415.2-0030   ,A1882                                                 ,213.809,-0.501,0.1403,2.7537
1089,J1415.3+2308,WARP J1415.3+2308 ,                                                      ,213.827,23.149,0.064,0.1092
1090,J1415.8+0015,RXC J1415.8+0015  ,                                                      ,213.965,0.259,0.1259,1.1809
1091,J1416.4+2315,BVH2007 186       ,                                                      ,214.112,23.259,0.138,1.7728
1092,J1416.4+4446,BVH2007 187       ,VMF98 158                                             ,214.117,44.777,0.4,2.8385
1093,J1416.5+3045,RXC J1416.5+3045  ,A1889                                                 ,214.135,30.762,0.186,1.7001
1094,J1416.8-1158,RXCJ1416.8-1158   ,                                                      ,214.214,-11.976,0.0982,1.9133
1095,J1418.5+2510,BVH2007 188       ,VMF98 159                                             ,214.63,25.18,0.29,2.948
1096,J1418.9+4903,RXC J1418.9+4903  ,                                                      ,214.747,49.05,0.2806,4.0082
1097,J1419.3+0638,RX J1419.3+0638   ,VMF98 161                                             ,214.848,6.645,0.574,2.0962
1098,J1419.8+0634,WARP J1419.9+0634W,VMF98 162                                             ,214.969,6.572,0.5641,1.5163
1099,J1421.5+4933,RXC J1421.5+4933  ,Zw 1420.2+4952                                        ,215.398,49.552,0.0716,1.6874
1100,J1421.6+3717,RXC J1421.6+3717  ,A1902                                                 ,215.423,37.296,0.1813,3.8011
1101,J1421.9-2009,RXCJ1421.9-2009   ,                                                      ,215.489,-20.16,0.1208,1.9497
1102,J1423.1+2615,RXC J1423.1+2615  ,RXJ1423.1+2616                                        ,215.792,26.256,0.0375,0.3759
1103,J1423.1+2942,MS1421.0+2955     ,                                                      ,215.795,29.703,0.261,1.4771
1104,J1423.7-5412,RXC J1423.7-5412  ,                                                      ,215.93,-54.203,0.3,8.0935
1105,J1423.7+2404,MACSJ1423.8+2404  ,MCS  J1423.8+2404                                     ,215.949,24.078,0.543,4.9804
1106,J1423.8+4015,RXC J1423.8+4015  ,RXJ1423.9+4015                                        ,215.969,40.262,0.0822,1.1105
1107,J1425.0+3758,BVH2007 NS 10     ,                                                      ,216.269,37.971,0.163,0.7123
1108,J1425.3+6311,RXC J1425.3+6311  ,A1918                                                 ,216.345,63.187,0.1394,3.3281
1109,J1426.0+3749,RXC J1426.0+3749  ,A1914                                                 ,216.507,37.827,0.1712,7.0075
1110,J1427.6-2521,MACSJ1427.6-2521  ,                                                      ,216.915,-25.351,0.318,3.3
1111,J1427.9+2630,BVH2007 189       ,IC4436                                                ,216.992,26.506,0.0324,0.0827
1112,J1428.4+5652,RXC J1428.4+5652  ,A1925                                                 ,217.117,56.883,0.1051,1.8095
1113,J1428.9+0145,MS1426.4+0158     ,                                                      ,217.247,1.754,0.32,2.079
1114,J1429.0+4241,WARP J1429.0+4241 ,CRSS J1429.1+4241                                     ,217.274,42.687,0.92,2.0435
1115,J1431.1+2538,RXC J1431.1+2538  ,A1927                                                 ,217.779,25.639,0.0908,2.138
1116,J1432.4+3137,A1930             ,A1930                                                 ,218.12,31.633,0.1313,2.9225
1117,J1434.2-3229,BVH2007 190       ,S0766                                                 ,218.572,-32.484,0.241,3.2855
1118,J1435.0-2821,RXCJ1435.0-2821   ,A3605                                                 ,218.753,-28.366,0.0689,1.2161
1119,J1436.8-0900,RXCJ1436.8-0900   ,                                                      ,219.223,-9.003,0.0842,1.5981
1120,J1436.9+5507,BVH2007 191       ,                                                      ,219.243,55.129,0.125,0.6107
1121,J1438.8+6423,BVH2007 192       ,VMF98 164                                             ,219.711,64.394,0.146,0.7337
1122,J1440.6+0328,RXC J1440.6+0328  ,MKW 8                                                 ,220.159,3.477,0.0263,0.7352
1123,J1442.3+2218,RXC J1442.3+2218  ,UGC 09480                                             ,220.577,22.305,0.0901,2.3234
1124,J1444.1+6344,BVH2007 NS 11     ,"VMF98 165, A1969                                      ",221.027,63.748,0.298,1.2862
1125,J1444.3+3114,A1961             ,A1961                                                 ,221.094,31.235,0.234,3.5321
1126,J1447.4+0827,RXC J1447.4+0827  ,                                                      ,221.857,8.464,0.1954,4.6039
1127,J1448.6-2749,BVH2007 193       ,A3609                                                 ,222.151,-27.819,0.175,1.3363
1128,J1451.1+1436,A1978             ,A1978                                                 ,222.775,14.611,0.146,3.2781
1129,J1451.2+1840,BVH2007 194       ,IC1062                                                ,222.822,18.683,0.0439,0.1752
1130,J1452.9+5802,RXC J1452.9+5802  ,A1995                                                 ,223.234,58.049,0.3179,5.8708
1131,J1452.9+1641,RXC J1452.9+1641  ,A1983                                                 ,223.245,16.7,0.0444,0.8782
