,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
17506,RMJ222202.4+135152.5,335.5099177939403,13.864577764122636,0.38163236,34.282143,1.1686522,0.34698445,0.0,21.775517,19.978168,18.116531,17.484783,17.139797,29.725698
17512,RMJ162549.5+152040.3,246.45615749495627,15.344518377419833,0.4899149,45.219955,1.8995515,-1.0,0.0,24.12258,21.547834,19.734789,18.773666,18.392895,24.755817
17513,RMJ001511.7+131345.9,3.798694112868475,13.22941929735556,0.47682333,43.709717,2.0511577,-1.0,0.0,24.79151,21.04988,19.714348,18.906435,18.481596,20.518145
17515,RMJ000254.9+071629.1,0.7285922847680126,7.274737543525181,0.4366433,36.40258,1.3730085,0.42907402,0.0,22.728981,20.97471,19.033133,18.219357,17.853306,25.468767
17517,RMJ083909.4+334801.1,129.7892435234963,33.80031656033725,0.52446944,51.337204,2.076954,0.52867204,0.0,25.131292,20.943644,19.227554,18.199514,17.865795,32.212437
17519,RMJ111049.6+464523.1,167.70670541778583,46.756418392267854,0.4528521,34.129593,1.4714607,-1.0,0.0,21.898949,20.786331,19.2842,18.546911,18.25136,19.995094
17521,RMJ135359.0+334955.0,208.49586575772005,33.83194629141077,0.47805735,43.587677,1.6169622,0.46995768,0.0,22.414137,20.02271,18.331337,17.500261,17.117672,28.526718
17522,RMJ085130.5+345912.2,132.87727944578535,34.98672109404598,0.38659054,30.666712,1.0452325,0.42512077,0.0,23.384737,21.056696,19.265827,18.572542,18.174652,17.53809
17523,RMJ103526.7+344343.8,158.86143230719549,34.728823466553315,0.45823044,37.729767,1.4976298,-1.0,0.0,24.215782,21.749065,20.008427,19.220304,18.93778,21.40065
17530,RMJ124330.5+133354.3,190.876973925689,13.565073660955925,0.44629252,32.527817,1.3308415,-1.0,0.0,24.074842,21.038382,19.407953,18.70528,18.262495,24.586174
17531,RMJ121732.6+213530.3,184.38586972449517,21.591736546287475,0.4422331,30.178553,1.3439714,-1.0,0.0,24.222347,20.667295,19.155169,18.400648,18.09529,18.13025
17532,RMJ095141.1+120728.1,147.9211724368829,12.12446914310438,0.53131884,51.443985,2.2220356,0.52538604,0.0,22.45429,22.089579,20.458872,19.531187,19.17247,20.775986
17534,RMJ015525.1-064607.0,28.854606189181197,-6.768622254956484,0.44635525,36.997528,1.4345732,-1.0,0.0,23.113731,21.40916,19.74139,18.94708,18.568375,20.352987
17538,RMJ131107.9+451633.4,197.78293574658437,45.275944994165215,0.47215077,36.75345,1.4699882,-1.0,0.0,22.71016,21.433182,19.801653,18.97463,18.604889,25.559366
17539,RMJ091517.8+040121.0,138.82421950617498,4.022493824919752,0.45599666,39.362045,1.4821582,-1.0,0.0,23.301363,22.131262,20.036728,19.244165,18.85601,20.04899
17542,RMJ073735.1+362538.2,114.39644248791413,36.427264335456215,0.48448795,36.2958,1.8137429,-1.0,0.0,22.55589,21.520222,19.736526,18.83281,18.485651,20.629522
17543,RMJ133920.3+023755.9,204.83477567685884,2.632199105697142,0.43937692,41.42147,1.3925601,-1.0,0.0,24.564636,21.62468,19.919462,19.149824,18.925718,20.86978
17544,RMJ230649.0+090708.1,346.70412760591836,9.118914303365601,0.49923223,43.191048,1.9996539,-1.0,0.0,24.599543,21.86191,20.307573,19.573019,19.171421,22.740322
17546,RMJ003647.4+093745.1,9.19735345516699,9.629207983336286,0.5120897,52.450813,2.36765,-1.0,0.0,22.00786,19.709803,18.457201,17.49168,18.772125,31.27876
17547,RMJ230947.9+154442.7,347.44968176391603,15.74519748720077,0.45682418,54.60177,1.9102744,-1.0,0.0,27.214195,20.76729,19.122135,18.295004,17.797554,29.03148
17549,RMJ133938.7+073251.6,204.91117086012247,7.547660174989772,0.4390831,38.507767,1.3290688,0.45209065,0.0,24.807138,21.068033,19.157913,18.410128,17.955647,23.444534
17550,RMJ002552.5+025936.3,6.468591797662214,2.993418981326536,0.4936874,35.96019,1.7026342,-1.0,0.0,25.545568,21.09437,19.470892,18.60684,18.16895,23.004108
17551,RMJ121702.6+384749.0,184.26076271413075,38.79694706357778,0.44540796,32.268486,1.3534572,0.4687945,0.0,24.0287,21.378233,19.616892,18.810879,18.339947,17.481628
17552,RMJ010241.7+270328.4,15.673561710508125,27.05789364766926,0.39636797,37.485687,1.277563,-1.0,0.0,22.504532,20.682116,18.996225,18.374706,17.935005,29.05497
17554,RMJ011617.7+041242.5,19.07383384777603,4.21179252044191,0.44692245,44.899605,1.6130922,0.49637595,0.0,27.099548,21.77223,19.855911,19.036232,18.606213,22.566832
